,premise,hypothesis,label,duration_type,prem_fixed
50,in 360 seconds the grocery store will close,the grocery store will close in 1 minutes,Contradiction,second_minute,False
51,in 360 seconds our plane will be departing,our plane will be departing in 2 minutes,Contradiction,second_minute,False
52,in 360 seconds we will eat our meal,we will eat our meal in 3 minutes,Contradiction,second_minute,False
53,in 360 seconds the webpage should finish loading,the webpage should finish loading in 4 minutes,Contradiction,second_minute,False
54,in 360 seconds the coffee will be ready to drink,the coffee will be ready to drink in 5 minutes,Contradiction,second_minute,False
55,in 360 seconds the webpage should finish loading,the webpage should finish loading in 6 minutes,Entailment,second_minute,False
56,in 360 seconds commercial break is over,commercial break is over in 7 minutes,Contradiction,second_minute,False
57,in 360 seconds class will end,class will end in 8 minutes,Contradiction,second_minute,False
58,in 360 seconds we will eat our meal,we will eat our meal in 9 minutes,Contradiction,second_minute,False
59,in 360 seconds class will start,class will start in 10 minutes,Contradiction,second_minute,False
60,in 420 seconds the race will commence,the race will commence in 1 minutes,Contradiction,second_minute,False
61,in 420 seconds the race will commence,the race will commence in 2 minutes,Contradiction,second_minute,False
62,in 420 seconds Mary's party will start,Mary's party will start in 3 minutes,Contradiction,second_minute,False
63,in 420 seconds the servers will be back up,the servers will be back up in 4 minutes,Contradiction,second_minute,False
64,in 420 seconds we will eat our meal,we will eat our meal in 5 minutes,Contradiction,second_minute,False
65,in 420 seconds the grocery store will close,the grocery store will close in 6 minutes,Contradiction,second_minute,False
66,in 420 seconds commercial break is over,commercial break is over in 7 minutes,Entailment,second_minute,False
67,in 420 seconds class will end,class will end in 8 minutes,Contradiction,second_minute,False
68,in 420 seconds the servers will be back up,the servers will be back up in 9 minutes,Contradiction,second_minute,False
69,in 420 seconds the next song is ready to play,the next song is ready to play in 10 minutes,Contradiction,second_minute,False
70,in 480 seconds the oven will be ready,the oven will be ready in 1 minutes,Contradiction,second_minute,False
71,in 480 seconds dinner will be ready,dinner will be ready in 2 minutes,Contradiction,second_minute,False
72,in 480 seconds the grocery store will close,the grocery store will close in 3 minutes,Contradiction,second_minute,False
73,in 480 seconds the showing will begin,the showing will begin in 4 minutes,Contradiction,second_minute,False
74,in 480 seconds commercial break is over,commercial break is over in 5 minutes,Contradiction,second_minute,False
75,in 480 seconds the servers will be back up,the servers will be back up in 6 minutes,Contradiction,second_minute,False
76,in 480 seconds the grocery store will close,the grocery store will close in 7 minutes,Contradiction,second_minute,False
77,in 480 seconds the grocery store will close,the grocery store will close in 8 minutes,Entailment,second_minute,False
78,in 480 seconds Mary's party will start,Mary's party will start in 9 minutes,Contradiction,second_minute,False
79,in 480 seconds our plane will be departing,our plane will be departing in 10 minutes,Contradiction,second_minute,False
80,in 540 seconds the grocery store will close,the grocery store will close in 1 minutes,Contradiction,second_minute,False
81,in 540 seconds the showing will begin,the showing will begin in 2 minutes,Contradiction,second_minute,False
82,in 540 seconds the coffee will be ready to drink,the coffee will be ready to drink in 3 minutes,Contradiction,second_minute,False
83,in 540 seconds Mary's party will start,Mary's party will start in 4 minutes,Contradiction,second_minute,False
84,in 540 seconds Jeopardy is starting,Jeopardy is starting in 5 minutes,Contradiction,second_minute,False
85,in 540 seconds Luke will eat dinner,Luke will eat dinner in 6 minutes,Contradiction,second_minute,False
86,in 540 seconds the oven will be ready,the oven will be ready in 7 minutes,Contradiction,second_minute,False
87,in 540 seconds our plane will be departing,our plane will be departing in 8 minutes,Contradiction,second_minute,False
88,in 540 seconds the grocery store will close,the grocery store will close in 9 minutes,Entailment,second_minute,False
89,in 540 seconds Mary's party will start,Mary's party will start in 10 minutes,Contradiction,second_minute,False
90,in 600 seconds Jeopardy is starting,Jeopardy is starting in 1 minutes,Contradiction,second_minute,False
91,in 600 seconds the coffee will be ready to drink,the coffee will be ready to drink in 2 minutes,Contradiction,second_minute,False
92,in 600 seconds the grocery store will close,the grocery store will close in 3 minutes,Contradiction,second_minute,False
93,in 600 seconds our plane will be departing,our plane will be departing in 4 minutes,Contradiction,second_minute,False
94,in 600 seconds the President is giving a speech,the President is giving a speech in 5 minutes,Contradiction,second_minute,False
95,in 600 seconds dinner will be ready,dinner will be ready in 6 minutes,Contradiction,second_minute,False
96,in 600 seconds the servers will be back up,the servers will be back up in 7 minutes,Contradiction,second_minute,False
97,in 600 seconds the webpage should finish loading,the webpage should finish loading in 8 minutes,Contradiction,second_minute,False
98,in 600 seconds the showing will begin,the showing will begin in 9 minutes,Contradiction,second_minute,False
99,in 600 seconds class will end,class will end in 10 minutes,Entailment,second_minute,False
100,in 60 seconds Jeopardy is starting,Jeopardy is starting before 1 minutes,Contradiction,second_minute,True
101,in 60 seconds commercial break is over,commercial break is over before 2 minutes,Entailment,second_minute,True
102,in 60 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens before 3 minutes,Entailment,second_minute,True
103,in 60 seconds dinner will be ready,dinner will be ready before 4 minutes,Entailment,second_minute,True
104,in 60 seconds class will start,class will start before 5 minutes,Entailment,second_minute,True
105,in 60 seconds the webpage should finish loading,the webpage should finish loading before 6 minutes,Entailment,second_minute,True
106,in 60 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens before 7 minutes,Entailment,second_minute,True
107,in 60 seconds the President is giving a speech,the President is giving a speech before 8 minutes,Entailment,second_minute,True
108,in 60 seconds the race will commence,the race will commence before 9 minutes,Entailment,second_minute,True
109,in 60 seconds the webpage should finish loading,the webpage should finish loading before 10 minutes,Entailment,second_minute,True
110,in 120 seconds Mary's party will start,Mary's party will start before 1 minutes,Contradiction,second_minute,True
111,in 120 seconds the webpage should finish loading,the webpage should finish loading before 2 minutes,Contradiction,second_minute,True
112,in 120 seconds the race will commence,the race will commence before 3 minutes,Entailment,second_minute,True
113,in 120 seconds the next song is ready to play,the next song is ready to play before 4 minutes,Entailment,second_minute,True
114,in 120 seconds the race will commence,the race will commence before 5 minutes,Entailment,second_minute,True
115,in 120 seconds the grocery store will close,the grocery store will close before 6 minutes,Entailment,second_minute,True
116,in 120 seconds Luke will eat dinner,Luke will eat dinner before 7 minutes,Entailment,second_minute,True
117,in 120 seconds commercial break is over,commercial break is over before 8 minutes,Entailment,second_minute,True
118,in 120 seconds the coffee will be ready to drink,the coffee will be ready to drink before 9 minutes,Entailment,second_minute,True
119,in 120 seconds class will end,class will end before 10 minutes,Entailment,second_minute,True
120,in 180 seconds our plane will be departing,our plane will be departing before 1 minutes,Contradiction,second_minute,True
121,in 180 seconds the webpage should finish loading,the webpage should finish loading before 2 minutes,Contradiction,second_minute,True
122,in 180 seconds Luke will eat dinner,Luke will eat dinner before 3 minutes,Contradiction,second_minute,True
123,in 180 seconds the oven will be ready,the oven will be ready before 4 minutes,Entailment,second_minute,True
124,in 180 seconds we will collect the exams,we will collect the exams before 5 minutes,Entailment,second_minute,True
125,in 180 seconds Luke will eat dinner,Luke will eat dinner before 6 minutes,Entailment,second_minute,True
126,in 180 seconds dinner will be ready,dinner will be ready before 7 minutes,Entailment,second_minute,True
127,in 180 seconds class will start,class will start before 8 minutes,Entailment,second_minute,True
128,in 180 seconds the race will commence,the race will commence before 9 minutes,Entailment,second_minute,True
129,in 180 seconds commercial break is over,commercial break is over before 10 minutes,Entailment,second_minute,True
130,in 240 seconds the oven will be ready,the oven will be ready before 1 minutes,Contradiction,second_minute,True
131,in 240 seconds we will collect the exams,we will collect the exams before 2 minutes,Contradiction,second_minute,True
132,in 240 seconds the servers will be back up,the servers will be back up before 3 minutes,Contradiction,second_minute,True
133,in 240 seconds class will start,class will start before 4 minutes,Contradiction,second_minute,True
134,in 240 seconds the coffee will be ready to drink,the coffee will be ready to drink before 5 minutes,Entailment,second_minute,True
135,in 240 seconds we will collect the exams,we will collect the exams before 6 minutes,Entailment,second_minute,True
136,in 240 seconds commercial break is over,commercial break is over before 7 minutes,Entailment,second_minute,True
137,in 240 seconds the President is giving a speech,the President is giving a speech before 8 minutes,Entailment,second_minute,True
138,in 240 seconds commercial break is over,commercial break is over before 9 minutes,Entailment,second_minute,True
139,in 240 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens before 10 minutes,Entailment,second_minute,True
140,in 300 seconds class will end,class will end before 1 minutes,Contradiction,second_minute,True
141,in 300 seconds the showing will begin,the showing will begin before 2 minutes,Contradiction,second_minute,True
142,in 300 seconds the President is giving a speech,the President is giving a speech before 3 minutes,Contradiction,second_minute,True
143,in 300 seconds class will start,class will start before 4 minutes,Contradiction,second_minute,True
144,in 300 seconds the servers will be back up,the servers will be back up before 5 minutes,Contradiction,second_minute,True
145,in 300 seconds class will start,class will start before 6 minutes,Entailment,second_minute,True
146,in 300 seconds we will eat our meal,we will eat our meal before 7 minutes,Entailment,second_minute,True
147,in 300 seconds class will end,class will end before 8 minutes,Entailment,second_minute,True
148,in 300 seconds we will collect the exams,we will collect the exams before 9 minutes,Entailment,second_minute,True
149,in 300 seconds class will start,class will start before 10 minutes,Entailment,second_minute,True
150,in 360 seconds our plane will be departing,our plane will be departing before 1 minutes,Contradiction,second_minute,True
151,in 360 seconds dinner will be ready,dinner will be ready before 2 minutes,Contradiction,second_minute,True
152,in 360 seconds the servers will be back up,the servers will be back up before 3 minutes,Contradiction,second_minute,True
153,in 360 seconds the President is giving a speech,the President is giving a speech before 4 minutes,Contradiction,second_minute,True
154,in 360 seconds we will collect the exams,we will collect the exams before 5 minutes,Contradiction,second_minute,True
155,in 360 seconds we will collect the exams,we will collect the exams before 6 minutes,Contradiction,second_minute,True
156,in 360 seconds dinner will be ready,dinner will be ready before 7 minutes,Entailment,second_minute,True
157,in 360 seconds Luke will eat dinner,Luke will eat dinner before 8 minutes,Entailment,second_minute,True
158,in 360 seconds class will start,class will start before 9 minutes,Entailment,second_minute,True
159,in 360 seconds the showing will begin,the showing will begin before 10 minutes,Entailment,second_minute,True
160,in 420 seconds Mary's party will start,Mary's party will start before 1 minutes,Contradiction,second_minute,True
161,in 420 seconds Jeopardy is starting,Jeopardy is starting before 2 minutes,Contradiction,second_minute,True
162,in 420 seconds Mary's party will start,Mary's party will start before 3 minutes,Contradiction,second_minute,True
163,in 420 seconds commercial break is over,commercial break is over before 4 minutes,Contradiction,second_minute,True
164,in 420 seconds Mary's party will start,Mary's party will start before 5 minutes,Contradiction,second_minute,True
165,in 420 seconds the webpage should finish loading,the webpage should finish loading before 6 minutes,Contradiction,second_minute,True
166,in 420 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens before 7 minutes,Contradiction,second_minute,True
167,in 420 seconds the oven will be ready,the oven will be ready before 8 minutes,Entailment,second_minute,True
168,in 420 seconds Jeopardy is starting,Jeopardy is starting before 9 minutes,Entailment,second_minute,True
169,in 420 seconds we will eat our meal,we will eat our meal before 10 minutes,Entailment,second_minute,True
170,in 480 seconds the coffee will be ready to drink,the coffee will be ready to drink before 1 minutes,Contradiction,second_minute,True
171,in 480 seconds Jeopardy is starting,Jeopardy is starting before 2 minutes,Contradiction,second_minute,True
172,in 480 seconds the servers will be back up,the servers will be back up before 3 minutes,Contradiction,second_minute,True
173,in 480 seconds the President is giving a speech,the President is giving a speech before 4 minutes,Contradiction,second_minute,True
174,in 480 seconds we will eat our meal,we will eat our meal before 5 minutes,Contradiction,second_minute,True
175,in 480 seconds Luke will eat dinner,Luke will eat dinner before 6 minutes,Contradiction,second_minute,True
176,in 480 seconds the webpage should finish loading,the webpage should finish loading before 7 minutes,Contradiction,second_minute,True
177,in 480 seconds we will eat our meal,we will eat our meal before 8 minutes,Contradiction,second_minute,True
178,in 480 seconds class will start,class will start before 9 minutes,Entailment,second_minute,True
179,in 480 seconds the President is giving a speech,the President is giving a speech before 10 minutes,Entailment,second_minute,True
180,in 540 seconds the oven will be ready,the oven will be ready before 1 minutes,Contradiction,second_minute,True
181,in 540 seconds class will end,class will end before 2 minutes,Contradiction,second_minute,True
182,in 540 seconds we will collect the exams,we will collect the exams before 3 minutes,Contradiction,second_minute,True
183,in 540 seconds Jeopardy is starting,Jeopardy is starting before 4 minutes,Contradiction,second_minute,True
184,in 540 seconds class will start,class will start before 5 minutes,Contradiction,second_minute,True
185,in 540 seconds Luke will eat dinner,Luke will eat dinner before 6 minutes,Contradiction,second_minute,True
186,in 540 seconds commercial break is over,commercial break is over before 7 minutes,Contradiction,second_minute,True
187,in 540 seconds the showing will begin,the showing will begin before 8 minutes,Contradiction,second_minute,True
188,in 540 seconds the race will commence,the race will commence before 9 minutes,Contradiction,second_minute,True
189,in 540 seconds the coffee will be ready to drink,the coffee will be ready to drink before 10 minutes,Entailment,second_minute,True
190,in 600 seconds our plane will be departing,our plane will be departing before 1 minutes,Contradiction,second_minute,True
191,in 600 seconds the oven will be ready,the oven will be ready before 2 minutes,Contradiction,second_minute,True
192,in 600 seconds dinner will be ready,dinner will be ready before 3 minutes,Contradiction,second_minute,True
193,in 600 seconds the oven will be ready,the oven will be ready before 4 minutes,Contradiction,second_minute,True
194,in 600 seconds commercial break is over,commercial break is over before 5 minutes,Contradiction,second_minute,True
195,in 600 seconds the race will commence,the race will commence before 6 minutes,Contradiction,second_minute,True
196,in 600 seconds the grocery store will close,the grocery store will close before 7 minutes,Contradiction,second_minute,True
197,in 600 seconds the showing will begin,the showing will begin before 8 minutes,Contradiction,second_minute,True
198,in 600 seconds the grocery store will close,the grocery store will close before 9 minutes,Contradiction,second_minute,True
199,in 600 seconds commercial break is over,commercial break is over before 10 minutes,Contradiction,second_minute,True
200,in 60 seconds the race will commence,the race will commence after 1 minutes,Contradiction,second_minute,True
201,in 60 seconds our plane will be departing,our plane will be departing after 2 minutes,Contradiction,second_minute,True
202,in 60 seconds the coffee will be ready to drink,the coffee will be ready to drink after 3 minutes,Contradiction,second_minute,True
203,in 60 seconds class will end,class will end after 4 minutes,Contradiction,second_minute,True
204,in 60 seconds the coffee will be ready to drink,the coffee will be ready to drink after 5 minutes,Contradiction,second_minute,True
205,in 60 seconds the coffee will be ready to drink,the coffee will be ready to drink after 6 minutes,Contradiction,second_minute,True
206,in 60 seconds the oven will be ready,the oven will be ready after 7 minutes,Contradiction,second_minute,True
207,in 60 seconds our plane will be departing,our plane will be departing after 8 minutes,Contradiction,second_minute,True
208,in 60 seconds commercial break is over,commercial break is over after 9 minutes,Contradiction,second_minute,True
209,in 60 seconds class will end,class will end after 10 minutes,Contradiction,second_minute,True
210,in 120 seconds the President is giving a speech,the President is giving a speech after 1 minutes,Entailment,second_minute,True
211,in 120 seconds commercial break is over,commercial break is over after 2 minutes,Contradiction,second_minute,True
212,in 120 seconds Luke will eat dinner,Luke will eat dinner after 3 minutes,Contradiction,second_minute,True
213,in 120 seconds dinner will be ready,dinner will be ready after 4 minutes,Contradiction,second_minute,True
214,in 120 seconds we will collect the exams,we will collect the exams after 5 minutes,Contradiction,second_minute,True
215,in 120 seconds our plane will be departing,our plane will be departing after 6 minutes,Contradiction,second_minute,True
216,in 120 seconds the grocery store will close,the grocery store will close after 7 minutes,Contradiction,second_minute,True
217,in 120 seconds the coffee will be ready to drink,the coffee will be ready to drink after 8 minutes,Contradiction,second_minute,True
218,in 120 seconds the oven will be ready,the oven will be ready after 9 minutes,Contradiction,second_minute,True
219,in 120 seconds our plane will be departing,our plane will be departing after 10 minutes,Contradiction,second_minute,True
220,in 180 seconds Luke will eat dinner,Luke will eat dinner after 1 minutes,Entailment,second_minute,True
221,in 180 seconds the coffee will be ready to drink,the coffee will be ready to drink after 2 minutes,Entailment,second_minute,True
222,in 180 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 3 minutes,Contradiction,second_minute,True
223,in 180 seconds commercial break is over,commercial break is over after 4 minutes,Contradiction,second_minute,True
224,in 180 seconds we will eat our meal,we will eat our meal after 5 minutes,Contradiction,second_minute,True
225,in 180 seconds Mary's party will start,Mary's party will start after 6 minutes,Contradiction,second_minute,True
226,in 180 seconds Mary's party will start,Mary's party will start after 7 minutes,Contradiction,second_minute,True
227,in 180 seconds we will collect the exams,we will collect the exams after 8 minutes,Contradiction,second_minute,True
228,in 180 seconds we will collect the exams,we will collect the exams after 9 minutes,Contradiction,second_minute,True
229,in 180 seconds class will end,class will end after 10 minutes,Contradiction,second_minute,True
230,in 240 seconds we will collect the exams,we will collect the exams after 1 minutes,Entailment,second_minute,True
231,in 240 seconds our plane will be departing,our plane will be departing after 2 minutes,Entailment,second_minute,True
232,in 240 seconds the oven will be ready,the oven will be ready after 3 minutes,Entailment,second_minute,True
233,in 240 seconds the servers will be back up,the servers will be back up after 4 minutes,Contradiction,second_minute,True
234,in 240 seconds the next song is ready to play,the next song is ready to play after 5 minutes,Contradiction,second_minute,True
235,in 240 seconds we will collect the exams,we will collect the exams after 6 minutes,Contradiction,second_minute,True
236,in 240 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 7 minutes,Contradiction,second_minute,True
237,in 240 seconds we will collect the exams,we will collect the exams after 8 minutes,Contradiction,second_minute,True
238,in 240 seconds the webpage should finish loading,the webpage should finish loading after 9 minutes,Contradiction,second_minute,True
239,in 240 seconds Mary's party will start,Mary's party will start after 10 minutes,Contradiction,second_minute,True
240,in 300 seconds the President is giving a speech,the President is giving a speech after 1 minutes,Entailment,second_minute,True
241,in 300 seconds class will end,class will end after 2 minutes,Entailment,second_minute,True
242,in 300 seconds class will end,class will end after 3 minutes,Entailment,second_minute,True
243,in 300 seconds the next song is ready to play,the next song is ready to play after 4 minutes,Entailment,second_minute,True
244,in 300 seconds class will start,class will start after 5 minutes,Contradiction,second_minute,True
245,in 300 seconds commercial break is over,commercial break is over after 6 minutes,Contradiction,second_minute,True
246,in 300 seconds class will end,class will end after 7 minutes,Contradiction,second_minute,True
247,in 300 seconds the President is giving a speech,the President is giving a speech after 8 minutes,Contradiction,second_minute,True
248,in 300 seconds the next song is ready to play,the next song is ready to play after 9 minutes,Contradiction,second_minute,True
249,in 300 seconds the servers will be back up,the servers will be back up after 10 minutes,Contradiction,second_minute,True
250,in 360 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 1 minutes,Entailment,second_minute,True
251,in 360 seconds class will start,class will start after 2 minutes,Entailment,second_minute,True
252,in 360 seconds class will start,class will start after 3 minutes,Entailment,second_minute,True
253,in 360 seconds the grocery store will close,the grocery store will close after 4 minutes,Entailment,second_minute,True
254,in 360 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 5 minutes,Entailment,second_minute,True
255,in 360 seconds the race will commence,the race will commence after 6 minutes,Contradiction,second_minute,True
256,in 360 seconds Jeopardy is starting,Jeopardy is starting after 7 minutes,Contradiction,second_minute,True
257,in 360 seconds Jeopardy is starting,Jeopardy is starting after 8 minutes,Contradiction,second_minute,True
258,in 360 seconds we will eat our meal,we will eat our meal after 9 minutes,Contradiction,second_minute,True
259,in 360 seconds the servers will be back up,the servers will be back up after 10 minutes,Contradiction,second_minute,True
260,in 420 seconds we will eat our meal,we will eat our meal after 1 minutes,Entailment,second_minute,True
261,in 420 seconds we will eat our meal,we will eat our meal after 2 minutes,Entailment,second_minute,True
262,in 420 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 3 minutes,Entailment,second_minute,True
263,in 420 seconds Luke will eat dinner,Luke will eat dinner after 4 minutes,Entailment,second_minute,True
264,in 420 seconds the servers will be back up,the servers will be back up after 5 minutes,Entailment,second_minute,True
265,in 420 seconds we will collect the exams,we will collect the exams after 6 minutes,Entailment,second_minute,True
266,in 420 seconds dinner will be ready,dinner will be ready after 7 minutes,Contradiction,second_minute,True
267,in 420 seconds class will end,class will end after 8 minutes,Contradiction,second_minute,True
268,in 420 seconds class will end,class will end after 9 minutes,Contradiction,second_minute,True
269,in 420 seconds the grocery store will close,the grocery store will close after 10 minutes,Contradiction,second_minute,True
270,in 480 seconds the showing will begin,the showing will begin after 1 minutes,Entailment,second_minute,True
271,in 480 seconds dinner will be ready,dinner will be ready after 2 minutes,Entailment,second_minute,True
272,in 480 seconds the President is giving a speech,the President is giving a speech after 3 minutes,Entailment,second_minute,True
273,in 480 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 4 minutes,Entailment,second_minute,True
274,in 480 seconds we will collect the exams,we will collect the exams after 5 minutes,Entailment,second_minute,True
275,in 480 seconds we will eat our meal,we will eat our meal after 6 minutes,Entailment,second_minute,True
276,in 480 seconds Jeopardy is starting,Jeopardy is starting after 7 minutes,Entailment,second_minute,True
277,in 480 seconds the oven will be ready,the oven will be ready after 8 minutes,Contradiction,second_minute,True
278,in 480 seconds we will eat our meal,we will eat our meal after 9 minutes,Contradiction,second_minute,True
279,in 480 seconds the oven will be ready,the oven will be ready after 10 minutes,Contradiction,second_minute,True
280,in 540 seconds the oven will be ready,the oven will be ready after 1 minutes,Entailment,second_minute,True
281,in 540 seconds Luke will eat dinner,Luke will eat dinner after 2 minutes,Entailment,second_minute,True
282,in 540 seconds our plane will be departing,our plane will be departing after 3 minutes,Entailment,second_minute,True
283,in 540 seconds the webpage should finish loading,the webpage should finish loading after 4 minutes,Entailment,second_minute,True
284,in 540 seconds the servers will be back up,the servers will be back up after 5 minutes,Entailment,second_minute,True
285,in 540 seconds the grocery store will close,the grocery store will close after 6 minutes,Entailment,second_minute,True
286,in 540 seconds the grocery store will close,the grocery store will close after 7 minutes,Entailment,second_minute,True
287,in 540 seconds the oven will be ready,the oven will be ready after 8 minutes,Entailment,second_minute,True
288,in 540 seconds class will end,class will end after 9 minutes,Contradiction,second_minute,True
289,in 540 seconds we will eat our meal,we will eat our meal after 10 minutes,Contradiction,second_minute,True
290,in 600 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens after 1 minutes,Entailment,second_minute,True
291,in 600 seconds the coffee will be ready to drink,the coffee will be ready to drink after 2 minutes,Entailment,second_minute,True
292,in 600 seconds dinner will be ready,dinner will be ready after 3 minutes,Entailment,second_minute,True
293,in 600 seconds commercial break is over,commercial break is over after 4 minutes,Entailment,second_minute,True
294,in 600 seconds the next song is ready to play,the next song is ready to play after 5 minutes,Entailment,second_minute,True
295,in 600 seconds class will start,class will start after 6 minutes,Entailment,second_minute,True
296,in 600 seconds Jeopardy is starting,Jeopardy is starting after 7 minutes,Entailment,second_minute,True
297,in 600 seconds Luke will eat dinner,Luke will eat dinner after 8 minutes,Entailment,second_minute,True
298,in 600 seconds Jeopardy is starting,Jeopardy is starting after 9 minutes,Entailment,second_minute,True
299,in 600 seconds the showing will begin,the showing will begin after 10 minutes,Contradiction,second_minute,True
300,before 60 seconds our favorite breakfast restaurant opens,our favorite breakfast restaurant opens in 1 minutes,Contradiction,second_minute,False
301,before 60 seconds our plane will be departing,our plane will be departing in 2 minutes,Contradiction,second_minute,False
302,before 60 seconds Jeopardy is starting,Jeopardy is starting in 3 minutes,Contradiction,second_minute,False
303,before 60 seconds the next song is ready to play,the next song is ready to play in 4 minutes,Contradiction,second_minute,False
304,before 60 seconds Jeopardy is starting,Jeopardy is starting in 5 minutes,Contradiction,second_minute,False
305,before 60 seconds Mary's party will start,Mary's party will start in 6 minutes,Contradiction,second_minute,False
306,before 60 seconds the grocery store will close,the grocery store will close in 7 minutes,Contradiction,second_minute,False
307,before 60 seconds commercial break is over,commercial break is over in 8 minutes,Contradiction,second_minute,False
308,before 60 seconds the webpage should finish loading,the webpage should finish loading in 9 minutes,Contradiction,second_minute,False
