,Premise,Hypothesis,Label,Premise Preposition,Higher Duration Unit,Premise Forward/Backward
133,"In 6 months, they will get married.",They will get married after 145 days.,E,in,month,backward
134,"In 6 months, they will get married.",They will get married before 288 days.,E,in,month,backward
135,"In 6 months, they will get married.",They will get married after 183 days.,C,in,month,backward
136,"Before 6 months, they will get married.",They will get married before 111 days.,N,before,month,backward
137,"Before 6 months, they will get married.",They will get married after 158 days.,N,before,month,backward
138,"Before 6 months, they will get married.",They will get married before 246 days.,E,before,month,backward
139,"Before 6 months, they will get married.",They will get married after 237 days.,C,before,month,backward
140,"After 6 months, they will get married.",They will get married before 150 days.,C,after,month,backward
141,"After 6 months, they will get married.",They will get married after 161 days.,E,after,month,backward
142,"After 6 months, they will get married.",They will get married before 194 days.,N,after,month,backward
143,"After 6 months, they will get married.",They will get married after 208 days.,N,after,month,backward
144,They will get married in 7 months.,They will get married before 66 days.,C,in,month,forward
145,They will get married in 7 months.,They will get married after 104 days.,E,in,month,forward
146,They will get married in 7 months.,They will get married before 221 days.,E,in,month,forward
147,They will get married in 7 months.,They will get married after 244 days.,C,in,month,forward
148,They will get married before 7 months.,They will get married before 151 days.,N,before,month,forward
149,They will get married before 7 months.,They will get married after 126 days.,N,before,month,forward
150,They will get married before 7 months.,They will get married before 237 days.,E,before,month,forward
151,They will get married before 7 months.,They will get married after 252 days.,C,before,month,forward
152,They will get married after 7 months.,They will get married before 175 days.,C,after,month,forward
153,They will get married after 7 months.,They will get married after 106 days.,E,after,month,forward
154,They will get married after 7 months.,They will get married before 261 days.,N,after,month,forward
155,They will get married after 7 months.,They will get married after 335 days.,N,after,month,forward
156,"In 7 months, they will get married.",They will get married before 98 days.,C,in,month,backward
157,"In 7 months, they will get married.",They will get married after 118 days.,E,in,month,backward
158,"In 7 months, they will get married.",They will get married before 364 days.,E,in,month,backward
159,"In 7 months, they will get married.",They will get married after 225 days.,C,in,month,backward
160,"Before 7 months, they will get married.",They will get married before 120 days.,N,before,month,backward
161,"Before 7 months, they will get married.",They will get married after 103 days.,N,before,month,backward
162,"Before 7 months, they will get married.",They will get married before 283 days.,E,before,month,backward
163,"Before 7 months, they will get married.",They will get married after 221 days.,C,before,month,backward
164,"After 7 months, they will get married.",They will get married before 119 days.,C,after,month,backward
165,"After 7 months, they will get married.",They will get married after 185 days.,E,after,month,backward
166,"After 7 months, they will get married.",They will get married before 282 days.,N,after,month,backward
167,"After 7 months, they will get married.",They will get married after 313 days.,N,after,month,backward
168,They will get married in 8 months.,They will get married before 125 days.,C,in,month,forward
169,They will get married in 8 months.,They will get married after 201 days.,E,in,month,forward
170,They will get married in 8 months.,They will get married before 379 days.,E,in,month,forward
171,They will get married in 8 months.,They will get married after 322 days.,C,in,month,forward
172,They will get married before 8 months.,They will get married before 150 days.,N,before,month,forward
173,They will get married before 8 months.,They will get married after 209 days.,N,before,month,forward
174,They will get married before 8 months.,They will get married before 311 days.,E,before,month,forward
175,They will get married before 8 months.,They will get married after 261 days.,C,before,month,forward
176,They will get married after 8 months.,They will get married before 170 days.,C,after,month,forward
177,They will get married after 8 months.,They will get married after 189 days.,E,after,month,forward
178,They will get married after 8 months.,They will get married before 325 days.,N,after,month,forward
179,They will get married after 8 months.,They will get married after 272 days.,N,after,month,forward
180,"In 8 months, they will get married.",They will get married before 187 days.,C,in,month,backward
181,"In 8 months, they will get married.",They will get married after 185 days.,E,in,month,backward
182,"In 8 months, they will get married.",They will get married before 358 days.,E,in,month,backward
183,"In 8 months, they will get married.",They will get married after 272 days.,C,in,month,backward
184,"Before 8 months, they will get married.",They will get married before 223 days.,N,before,month,backward
185,"Before 8 months, they will get married.",They will get married after 125 days.,N,before,month,backward
186,"Before 8 months, they will get married.",They will get married before 363 days.,E,before,month,backward
187,"Before 8 months, they will get married.",They will get married after 344 days.,C,before,month,backward
188,"After 8 months, they will get married.",They will get married before 165 days.,C,after,month,backward
189,"After 8 months, they will get married.",They will get married after 125 days.,E,after,month,backward
190,"After 8 months, they will get married.",They will get married before 285 days.,N,after,month,backward
191,"After 8 months, they will get married.",They will get married after 318 days.,N,after,month,backward
192,They will get married in 9 months.,They will get married before 124 days.,C,in,month,forward
193,They will get married in 9 months.,They will get married after 251 days.,E,in,month,forward
194,They will get married in 9 months.,They will get married before 295 days.,E,in,month,forward
195,They will get married in 9 months.,They will get married after 377 days.,C,in,month,forward
196,They will get married before 9 months.,They will get married before 130 days.,N,before,month,forward
197,They will get married before 9 months.,They will get married after 222 days.,N,before,month,forward
198,They will get married before 9 months.,They will get married before 312 days.,E,before,month,forward
199,They will get married before 9 months.,They will get married after 346 days.,C,before,month,forward
200,They will get married after 9 months.,They will get married before 130 days.,C,after,month,forward
201,They will get married after 9 months.,They will get married after 265 days.,E,after,month,forward
202,They will get married after 9 months.,They will get married before 309 days.,N,after,month,forward
203,They will get married after 9 months.,They will get married after 420 days.,N,after,month,forward
204,"In 9 months, they will get married.",They will get married before 126 days.,C,in,month,backward
205,"In 9 months, they will get married.",They will get married after 261 days.,E,in,month,backward
206,"In 9 months, they will get married.",They will get married before 371 days.,E,in,month,backward
207,"In 9 months, they will get married.",They will get married after 403 days.,C,in,month,backward
208,"Before 9 months, they will get married.",They will get married before 191 days.,N,before,month,backward
209,"Before 9 months, they will get married.",They will get married after 143 days.,N,before,month,backward
210,"Before 9 months, they will get married.",They will get married before 411 days.,E,before,month,backward
211,"Before 9 months, they will get married.",They will get married after 383 days.,C,before,month,backward
212,"After 9 months, they will get married.",They will get married before 170 days.,C,after,month,backward
213,"After 9 months, they will get married.",They will get married after 237 days.,E,after,month,backward
214,"After 9 months, they will get married.",They will get married before 328 days.,N,after,month,backward
215,"After 9 months, they will get married.",They will get married after 316 days.,N,after,month,backward
216,They will get married in 10 months.,They will get married before 174 days.,C,in,month,forward
217,They will get married in 10 months.,They will get married after 182 days.,E,in,month,forward
218,They will get married in 10 months.,They will get married before 342 days.,E,in,month,forward
219,They will get married in 10 months.,They will get married after 318 days.,C,in,month,forward
220,They will get married before 10 months.,They will get married before 272 days.,N,before,month,forward
221,They will get married before 10 months.,They will get married after 247 days.,N,before,month,forward
222,They will get married before 10 months.,They will get married before 351 days.,E,before,month,forward
223,They will get married before 10 months.,They will get married after 364 days.,C,before,month,forward
224,They will get married after 10 months.,They will get married before 200 days.,C,after,month,forward
225,They will get married after 10 months.,They will get married after 154 days.,E,after,month,forward
226,They will get married after 10 months.,They will get married before 330 days.,N,after,month,forward
227,They will get married after 10 months.,They will get married after 419 days.,N,after,month,forward
228,"In 10 months, they will get married.",They will get married before 178 days.,C,in,month,backward
229,"In 10 months, they will get married.",They will get married after 163 days.,E,in,month,backward
230,"In 10 months, they will get married.",They will get married before 436 days.,E,in,month,backward
231,"In 10 months, they will get married.",They will get married after 372 days.,C,in,month,backward
232,"Before 10 months, they will get married.",They will get married before 272 days.,N,before,month,backward
233,"Before 10 months, they will get married.",They will get married after 281 days.,N,before,month,backward
234,"Before 10 months, they will get married.",They will get married before 354 days.,E,before,month,backward
235,"Before 10 months, they will get married.",They will get married after 311 days.,C,before,month,backward
236,"After 10 months, they will get married.",They will get married before 272 days.,C,after,month,backward
237,"After 10 months, they will get married.",They will get married after 244 days.,E,after,month,backward
238,"After 10 months, they will get married.",They will get married before 305 days.,N,after,month,backward
239,"After 10 months, they will get married.",They will get married after 332 days.,N,after,month,backward
240,They will get married in 1 year.,They will get married before 7 months.,C,in,year,forward
241,They will get married in 1 year.,They will get married after 9 months.,E,in,year,forward
242,They will get married in 1 year.,They will get married before 18 months.,E,in,year,forward
243,They will get married in 1 year.,They will get married after 21 months.,C,in,year,forward
244,They will get married before 1 year.,They will get married before 3 months.,N,before,year,forward
245,They will get married before 1 year.,They will get married after 10 months.,N,before,year,forward
246,They will get married before 1 year.,They will get married before 34 months.,E,before,year,forward
247,They will get married before 1 year.,They will get married after 41 months.,C,before,year,forward
248,They will get married after 1 year.,They will get married before 5 months.,C,after,year,forward
249,They will get married after 1 year.,They will get married after 9 months.,E,after,year,forward
250,They will get married after 1 year.,They will get married before 67 months.,N,after,year,forward
251,They will get married after 1 year.,They will get married after 46 months.,N,after,year,forward
252,"In 1 year, they will get married.",They will get married before 4 months.,C,in,year,backward
253,"In 1 year, they will get married.",They will get married after 2 months.,E,in,year,backward
254,"In 1 year, they will get married.",They will get married before 50 months.,E,in,year,backward
255,"In 1 year, they will get married.",They will get married after 69 months.,C,in,year,backward
256,"Before 1 year, they will get married.",They will get married before 9 months.,N,before,year,backward
257,"Before 1 year, they will get married.",They will get married after 8 months.,N,before,year,backward
258,"Before 1 year, they will get married.",They will get married before 32 months.,E,before,year,backward
259,"Before 1 year, they will get married.",They will get married after 58 months.,C,before,year,backward
260,"After 1 year, they will get married.",They will get married before 9 months.,C,after,year,backward
261,"After 1 year, they will get married.",They will get married after 1 month.,E,after,year,backward
262,"After 1 year, they will get married.",They will get married before 39 months.,N,after,year,backward
263,"After 1 year, they will get married.",They will get married after 30 months.,N,after,year,backward
264,They will get married in 2 years.,They will get married before 16 months.,C,in,year,forward
265,They will get married in 2 years.,They will get married after 22 months.,E,in,year,forward
266,They will get married in 2 years.,They will get married before 37 months.,E,in,year,forward
267,They will get married in 2 years.,They will get married after 53 months.,C,in,year,forward
268,They will get married before 2 years.,They will get married before 4 months.,N,before,year,forward
269,They will get married before 2 years.,They will get married after 19 months.,N,before,year,forward
270,They will get married before 2 years.,They will get married before 42 months.,E,before,year,forward
271,They will get married before 2 years.,They will get married after 43 months.,C,before,year,forward
272,They will get married after 2 years.,They will get married before 17 months.,C,after,year,forward
273,They will get married after 2 years.,They will get married after 2 months.,E,after,year,forward
274,They will get married after 2 years.,They will get married before 83 months.,N,after,year,forward
275,They will get married after 2 years.,They will get married after 27 months.,N,after,year,forward
276,"In 2 years, they will get married.",They will get married before 7 months.,C,in,year,backward
277,"In 2 years, they will get married.",They will get married after 9 months.,E,in,year,backward
278,"In 2 years, they will get married.",They will get married before 74 months.,E,in,year,backward
279,"In 2 years, they will get married.",They will get married after 39 months.,C,in,year,backward
280,"Before 2 years, they will get married.",They will get married before 10 months.,N,before,year,backward
281,"Before 2 years, they will get married.",They will get married after 19 months.,N,before,year,backward
282,"Before 2 years, they will get married.",They will get married before 49 months.,E,before,year,backward
283,"Before 2 years, they will get married.",They will get married after 45 months.,C,before,year,backward
284,"After 2 years, they will get married.",They will get married before 17 months.,C,after,year,backward
285,"After 2 years, they will get married.",They will get married after 17 months.,E,after,year,backward
286,"After 2 years, they will get married.",They will get married before 63 months.,N,after,year,backward
287,"After 2 years, they will get married.",They will get married after 59 months.,N,after,year,backward
288,They will get married in 3 years.,They will get married before 34 months.,C,in,year,forward
289,They will get married in 3 years.,They will get married after 7 months.,E,in,year,forward
290,They will get married in 3 years.,They will get married before 91 months.,E,in,year,forward
291,They will get married in 3 years.,They will get married after 64 months.,C,in,year,forward
292,They will get married before 3 years.,They will get married before 19 months.,N,before,year,forward
293,They will get married before 3 years.,They will get married after 19 months.,N,before,year,forward
294,They will get married before 3 years.,They will get married before 94 months.,E,before,year,forward
295,They will get married before 3 years.,They will get married after 50 months.,C,before,year,forward
296,They will get married after 3 years.,They will get married before 18 months.,C,after,year,forward
297,They will get married after 3 years.,They will get married after 21 months.,E,after,year,forward
298,They will get married after 3 years.,They will get married before 88 months.,N,after,year,forward
299,They will get married after 3 years.,They will get married after 41 months.,N,after,year,forward
300,"In 3 years, they will get married.",They will get married before 3 months.,C,in,year,backward
301,"In 3 years, they will get married.",They will get married after 10 months.,E,in,year,backward
302,"In 3 years, they will get married.",They will get married before 54 months.,E,in,year,backward
303,"In 3 years, they will get married.",They will get married after 73 months.,C,in,year,backward
304,"Before 3 years, they will get married.",They will get married before 32 months.,N,before,year,backward
305,"Before 3 years, they will get married.",They will get married after 11 months.,N,before,year,backward
306,"Before 3 years, they will get married.",They will get married before 55 months.,E,before,year,backward
307,"Before 3 years, they will get married.",They will get married after 63 months.,C,before,year,backward
308,"After 3 years, they will get married.",They will get married before 19 months.,C,after,year,backward
309,"After 3 years, they will get married.",They will get married after 26 months.,E,after,year,backward
310,"After 3 years, they will get married.",They will get married before 47 months.,N,after,year,backward
311,"After 3 years, they will get married.",They will get married after 84 months.,N,after,year,backward
312,They will get married in 4 years.,They will get married before 23 months.,C,in,year,forward
313,They will get married in 4 years.,They will get married after 32 months.,E,in,year,forward
314,They will get married in 4 years.,They will get married before 76 months.,E,in,year,forward
315,They will get married in 4 years.,They will get married after 92 months.,C,in,year,forward
316,They will get married before 4 years.,They will get married before 34 months.,N,before,year,forward
317,They will get married before 4 years.,They will get married after 12 months.,N,before,year,forward
318,They will get married before 4 years.,They will get married before 74 months.,E,before,year,forward
319,They will get married before 4 years.,They will get married after 80 months.,C,before,year,forward
320,They will get married after 4 years.,They will get married before 30 months.,C,after,year,forward
321,They will get married after 4 years.,They will get married after 29 months.,E,after,year,forward
322,They will get married after 4 years.,They will get married before 71 months.,N,after,year,forward
323,They will get married after 4 years.,They will get married after 94 months.,N,after,year,forward
324,"In 4 years, they will get married.",They will get married before 31 months.,C,in,year,backward
325,"In 4 years, they will get married.",They will get married after 10 months.,E,in,year,backward
326,"In 4 years, they will get married.",They will get married before 76 months.,E,in,year,backward
327,"In 4 years, they will get married.",They will get married after 105 months.,C,in,year,backward
328,"Before 4 years, they will get married.",They will get married before 12 months.,N,before,year,backward
329,"Before 4 years, they will get married.",They will get married after 11 months.,N,before,year,backward
330,"Before 4 years, they will get married.",They will get married before 88 months.,E,before,year,backward
331,"Before 4 years, they will get married.",They will get married after 102 months.,C,before,year,backward
332,"After 4 years, they will get married.",They will get married before 8 months.,C,after,year,backward
333,"After 4 years, they will get married.",They will get married after 41 months.,E,after,year,backward
334,"After 4 years, they will get married.",They will get married before 70 months.,N,after,year,backward
335,"After 4 years, they will get married.",They will get married after 51 months.,N,after,year,backward
336,They will get married in 5 years.,They will get married before 38 months.,C,in,year,forward
337,They will get married in 5 years.,They will get married after 24 months.,E,in,year,forward
338,They will get married in 5 years.,They will get married before 73 months.,E,in,year,forward
339,They will get married in 5 years.,They will get married after 108 months.,C,in,year,forward
340,They will get married before 5 years.,They will get married before 8 months.,N,before,year,forward
341,They will get married before 5 years.,They will get married after 6 months.,N,before,year,forward
342,They will get married before 5 years.,They will get married before 72 months.,E,before,year,forward
343,They will get married before 5 years.,They will get married after 94 months.,C,before,year,forward
344,They will get married after 5 years.,They will get married before 38 months.,C,after,year,forward
345,They will get married after 5 years.,They will get married after 11 months.,E,after,year,forward
346,They will get married after 5 years.,They will get married before 115 months.,N,after,year,forward
347,They will get married after 5 years.,They will get married after 70 months.,N,after,year,forward
348,"In 5 years, they will get married.",They will get married before 11 months.,C,in,year,backward
349,"In 5 years, they will get married.",They will get married after 4 months.,E,in,year,backward
350,"In 5 years, they will get married.",They will get married before 89 months.,E,in,year,backward
351,"In 5 years, they will get married.",They will get married after 87 months.,C,in,year,backward
352,"Before 5 years, they will get married.",They will get married before 57 months.,N,before,year,backward
353,"Before 5 years, they will get married.",They will get married after 21 months.,N,before,year,backward
354,"Before 5 years, they will get married.",They will get married before 97 months.,E,before,year,backward
355,"Before 5 years, they will get married.",They will get married after 98 months.,C,before,year,backward
356,"After 5 years, they will get married.",They will get married before 31 months.,C,after,year,backward
357,"After 5 years, they will get married.",They will get married after 39 months.,E,after,year,backward
358,"After 5 years, they will get married.",They will get married before 63 months.,N,after,year,backward
359,"After 5 years, they will get married.",They will get married after 69 months.,N,after,year,backward
360,They will get married in 6 years.,They will get married before 35 months.,C,in,year,forward
361,They will get married in 6 years.,They will get married after 37 months.,E,in,year,forward
362,They will get married in 6 years.,They will get married before 114 months.,E,in,year,forward
363,They will get married in 6 years.,They will get married after 95 months.,C,in,year,forward
364,They will get married before 6 years.,They will get married before 65 months.,N,before,year,forward
365,They will get married before 6 years.,They will get married after 43 months.,N,before,year,forward
366,They will get married before 6 years.,They will get married before 97 months.,E,before,year,forward
367,They will get married before 6 years.,They will get married after 104 months.,C,before,year,forward
368,They will get married after 6 years.,They will get married before 62 months.,C,after,year,forward
369,They will get married after 6 years.,They will get married after 56 months.,E,after,year,forward
370,They will get married after 6 years.,They will get married before 101 months.,N,after,year,forward
371,They will get married after 6 years.,They will get married after 96 months.,N,after,year,forward
372,"In 6 years, they will get married.",They will get married before 58 months.,C,in,year,backward
373,"In 6 years, they will get married.",They will get married after 32 months.,E,in,year,backward
374,"In 6 years, they will get married.",They will get married before 80 months.,E,in,year,backward
375,"In 6 years, they will get married.",They will get married after 101 months.,C,in,year,backward
376,"Before 6 years, they will get married.",They will get married before 33 months.,N,before,year,backward
377,"Before 6 years, they will get married.",They will get married after 58 months.,N,before,year,backward
378,"Before 6 years, they will get married.",They will get married before 131 months.,E,before,year,backward
379,"Before 6 years, they will get married.",They will get married after 79 months.,C,before,year,backward
380,"After 6 years, they will get married.",They will get married before 69 months.,C,after,year,backward
381,"After 6 years, they will get married.",They will get married after 46 months.,E,after,year,backward
382,"After 6 years, they will get married.",They will get married before 87 months.,N,after,year,backward
383,"After 6 years, they will get married.",They will get married after 79 months.,N,after,year,backward
384,They will get married in 7 years.,They will get married before 61 months.,C,in,year,forward
385,They will get married in 7 years.,They will get married after 73 months.,E,in,year,forward
386,They will get married in 7 years.,They will get married before 85 months.,E,in,year,forward
387,They will get married in 7 years.,They will get married after 85 months.,C,in,year,forward
388,They will get married before 7 years.,They will get married before 29 months.,N,before,year,forward
389,They will get married before 7 years.,They will get married after 24 months.,N,before,year,forward
390,They will get married before 7 years.,They will get married before 98 months.,E,before,year,forward
391,They will get married before 7 years.,They will get married after 86 months.,C,before,year,forward
392,They will get married after 7 years.,They will get married before 24 months.,C,after,year,forward
393,They will get married after 7 years.,They will get married after 33 months.,E,after,year,forward
394,They will get married after 7 years.,They will get married before 125 months.,N,after,year,forward
395,They will get married after 7 years.,They will get married after 127 months.,N,after,year,forward
396,"In 7 years, they will get married.",They will get married before 42 months.,C,in,year,backward
397,"In 7 years, they will get married.",They will get married after 45 months.,E,in,year,backward
398,"In 7 years, they will get married.",They will get married before 105 months.,E,in,year,backward
399,"In 7 years, they will get married.",They will get married after 92 months.,C,in,year,backward
400,"Before 7 years, they will get married.",They will get married before 60 months.,N,before,year,backward
401,"Before 7 years, they will get married.",They will get married after 64 months.,N,before,year,backward
402,"Before 7 years, they will get married.",They will get married before 104 months.,E,before,year,backward
403,"Before 7 years, they will get married.",They will get married after 141 months.,C,before,year,backward
404,"After 7 years, they will get married.",They will get married before 41 months.,C,after,year,backward
405,"After 7 years, they will get married.",They will get married after 38 months.,E,after,year,backward
406,"After 7 years, they will get married.",They will get married before 108 months.,N,after,year,backward
