,Premise,Hypothesis,Label,Time Diff,Type,Prem Fixed,Temp Type
24,They got married in Apr.,They got married after March.,Entailment,0.08333333333333333,MULTI_month,True,Forward Past
25,"In Jan, they got married.","Before May, they got married.",Entailment,0.3333333333333333,MULTI_month,True,Backward Past
26,"In September, they got married.","After Mar, they got married.",Entailment,0.5,MULTI_month,True,Backward Past
27,"In Jul, they got married.","Before August, they got married.",Entailment,0.08333333333333333,MULTI_month,True,Backward Past
28,"In December, they got married.","After Sep, they got married.",Entailment,0.25,MULTI_month,True,Backward Past
29,"In August, they got married.","Before Dec, they got married.",Entailment,0.3333333333333333,MULTI_month,True,Backward Past
30,They got married after April.,They got married before Aug.,Neutral,0.3333333333333333,MULTI_month,False,Forward Past
31,They got married before December.,They got married after Nov.,Neutral,0.08333333333333333,MULTI_month,False,Forward Past
32,They got married before May.,They got married after April.,Neutral,0.08333333333333333,MULTI_month,False,Forward Past
33,They got married after May.,They got married before March.,Contradiction,0.16666666666666666,MULTI_month,False,Forward Past
34,They got married before November.,They got married before Jun.,Neutral,0.4166666666666667,MULTI_month,False,Forward Past
35,"Before Nov, they got married.","Before November, they got married.",Neutral,0.0,MULTI_month,False,Backward Past
36,"Before April, they got married.","Before May, they got married.",Entailment,0.08333333333333333,MULTI_month,False,Backward Past
37,"After Aug, they got married.","After May, they got married.",Entailment,0.25,MULTI_month,False,Backward Past
38,"After April, they got married.","Before Mar, they got married.",Contradiction,0.08333333333333333,MULTI_month,False,Backward Past
39,"After Dec, they got married.","After November, they got married.",Entailment,0.08333333333333333,MULTI_month,False,Backward Past
40,They got married in 1981.,They got married after 1924.,Entailment,0.5643564356435643,SINGLE_year,True,Forward Past
41,They got married in 1950.,They got married before 1913.,Contradiction,0.36633663366336633,SINGLE_year,True,Forward Past
42,They got married in 1968.,They got married after 1922.,Entailment,0.45544554455445546,SINGLE_year,True,Forward Past
43,They got married in 1957.,They got married before 1951.,Contradiction,0.0594059405940594,SINGLE_year,True,Forward Past
44,They got married in 1911.,They got married after 1949.,Contradiction,0.37623762376237624,SINGLE_year,True,Forward Past
45,"In 1937, they got married.","Before 1969, they got married.",Entailment,0.31683168316831684,SINGLE_year,True,Backward Past
46,"In 1942, they got married.","After 1921, they got married.",Entailment,0.2079207920792079,SINGLE_year,True,Backward Past
47,"In 1973, they got married.","Before 1917, they got married.",Contradiction,0.5544554455445545,SINGLE_year,True,Backward Past
48,"In 1966, they got married.","After 1979, they got married.",Contradiction,0.12871287128712872,SINGLE_year,True,Backward Past
49,"In 1998, they got married.","After 1942, they got married.",Entailment,0.5544554455445545,SINGLE_year,True,Backward Past
50,They got married after 1973.,They got married before 1917.,Contradiction,0.5544554455445545,SINGLE_year,False,Forward Past
51,They got married after 1954.,They got married before 1950.,Contradiction,0.039603960396039604,SINGLE_year,False,Forward Past
52,They got married after 1985.,They got married before 1915.,Contradiction,0.693069306930693,SINGLE_year,False,Forward Past
53,They got married before 1977.,They got married before 1957.,Neutral,0.19801980198019803,SINGLE_year,False,Forward Past
54,They got married after 1992.,They got married before 1925.,Contradiction,0.6633663366336634,SINGLE_year,False,Forward Past
55,"After 1927, they got married.","After 1914, they got married.",Entailment,0.12871287128712872,SINGLE_year,False,Backward Past
56,"Before 1948, they got married.","After 1959, they got married.",Contradiction,0.10891089108910891,SINGLE_year,False,Backward Past
57,"Before 1941, they got married.","Before 1990, they got married.",Entailment,0.48514851485148514,SINGLE_year,False,Backward Past
58,"After 1990, they got married.","Before 1948, they got married.",Contradiction,0.4158415841584158,SINGLE_year,False,Backward Past
59,"Before 1930, they got married.","Before 1911, they got married.",Neutral,0.18811881188118812,SINGLE_year,False,Backward Past
60,They got married in September.,They got married before September.,Contradiction,0.0,SINGLE_month_full,True,Forward Past
61,They got married in August.,They got married before June.,Contradiction,0.16666666666666666,SINGLE_month_full,True,Forward Past
62,They got married in August.,They got married before October.,Entailment,0.16666666666666666,SINGLE_month_full,True,Forward Past
63,They got married in February.,They got married after January.,Entailment,0.08333333333333333,SINGLE_month_full,True,Forward Past
64,They got married in November.,They got married before October.,Contradiction,0.08333333333333333,SINGLE_month_full,True,Forward Past
65,"In September, they got married.","After May, they got married.",Entailment,0.3333333333333333,SINGLE_month_full,True,Backward Past
66,"In April, they got married.","After May, they got married.",Contradiction,0.08333333333333333,SINGLE_month_full,True,Backward Past
67,"In September, they got married.","Before September, they got married.",Contradiction,0.0,SINGLE_month_full,True,Backward Past
68,"In September, they got married.","Before November, they got married.",Entailment,0.16666666666666666,SINGLE_month_full,True,Backward Past
69,"In February, they got married.","Before April, they got married.",Entailment,0.16666666666666666,SINGLE_month_full,True,Backward Past
70,They got married after February.,They got married after July.,Neutral,0.4166666666666667,SINGLE_month_full,False,Forward Past
71,They got married before August.,They got married before October.,Entailment,0.16666666666666666,SINGLE_month_full,False,Forward Past
72,They got married after October.,They got married before November.,Neutral,0.08333333333333333,SINGLE_month_full,False,Forward Past
73,They got married before November.,They got married before August.,Neutral,0.25,SINGLE_month_full,False,Forward Past
74,They got married before February.,They got married after August.,Contradiction,0.5,SINGLE_month_full,False,Forward Past
75,"Before November, they got married.","After November, they got married.",Contradiction,0.0,SINGLE_month_full,False,Backward Past
76,"Before November, they got married.","Before December, they got married.",Entailment,0.08333333333333333,SINGLE_month_full,False,Backward Past
77,"After July, they got married.","Before September, they got married.",Neutral,0.16666666666666666,SINGLE_month_full,False,Backward Past
78,"Before October, they got married.","Before September, they got married.",Neutral,0.08333333333333333,SINGLE_month_full,False,Backward Past
79,"After August, they got married.","Before August, they got married.",Contradiction,0.0,SINGLE_month_full,False,Backward Past
80,They got married in Oct.,They got married after Jun.,Entailment,0.3333333333333333,SINGLE_month_abv,True,Forward Past
81,They got married in Dec.,They got married after Jul.,Entailment,0.4166666666666667,SINGLE_month_abv,True,Forward Past
82,They got married in Nov.,They got married after Dec.,Contradiction,0.08333333333333333,SINGLE_month_abv,True,Forward Past
83,They got married in Nov.,They got married before Jul.,Contradiction,0.3333333333333333,SINGLE_month_abv,True,Forward Past
84,They got married in Feb.,They got married after Mar.,Contradiction,0.08333333333333333,SINGLE_month_abv,True,Forward Past
85,"In Apr, they got married.","Before May, they got married.",Entailment,0.08333333333333333,SINGLE_month_abv,True,Backward Past
86,"In Apr, they got married.","After May, they got married.",Contradiction,0.08333333333333333,SINGLE_month_abv,True,Backward Past
87,"In Jul, they got married.","Before Jan, they got married.",Contradiction,0.5,SINGLE_month_abv,True,Backward Past
88,"In Sep, they got married.","After Aug, they got married.",Entailment,0.08333333333333333,SINGLE_month_abv,True,Backward Past
89,"In Aug, they got married.","Before Aug, they got married.",Contradiction,0.0,SINGLE_month_abv,True,Backward Past
90,They got married after Feb.,They got married after May.,Neutral,0.25,SINGLE_month_abv,False,Forward Past
91,They got married after Feb.,They got married after Aug.,Neutral,0.5,SINGLE_month_abv,False,Forward Past
92,They got married after Dec.,They got married before Nov.,Contradiction,0.08333333333333333,SINGLE_month_abv,False,Forward Past
93,They got married before Mar.,They got married before Jun.,Entailment,0.25,SINGLE_month_abv,False,Forward Past
94,They got married before Sep.,They got married after Oct.,Contradiction,0.08333333333333333,SINGLE_month_abv,False,Forward Past
95,"Before Jun, they got married.","After Mar, they got married.",Neutral,0.25,SINGLE_month_abv,False,Backward Past
96,"Before Aug, they got married.","Before Apr, they got married.",Neutral,0.3333333333333333,SINGLE_month_abv,False,Backward Past
97,"Before Sep, they got married.","Before May, they got married.",Neutral,0.3333333333333333,SINGLE_month_abv,False,Backward Past
98,"After Sep, they got married.","After Nov, they got married.",Neutral,0.16666666666666666,SINGLE_month_abv,False,Backward Past
99,"Before Oct, they got married.","Before Jul, they got married.",Neutral,0.25,SINGLE_month_abv,False,Backward Past
100,They got married on 4th.,They got married before 13th.,Entailment,0.32142857142857145,SINGLE_date,True,Forward Past
101,They got married on 11th.,They got married before 10th.,Contradiction,0.03571428571428571,SINGLE_date,True,Forward Past
102,They got married on 22nd.,They got married after 8th.,Entailment,0.5,SINGLE_date,True,Forward Past
103,They got married on 7th.,They got married before 14th.,Entailment,0.25,SINGLE_date,True,Forward Past
104,They got married on 26th.,They got married before 14th.,Contradiction,0.42857142857142855,SINGLE_date,True,Forward Past
105,"On 10th, they got married.","After 2nd, they got married.",Entailment,0.2857142857142857,SINGLE_date,True,Backward Past
106,"On 16th, they got married.","Before 14th, they got married.",Contradiction,0.07142857142857142,SINGLE_date,True,Backward Past
107,"On 17th, they got married.","Before 4th, they got married.",Contradiction,0.4642857142857143,SINGLE_date,True,Backward Past
108,"On 15th, they got married.","Before 4th, they got married.",Contradiction,0.39285714285714285,SINGLE_date,True,Backward Past
109,"On 9th, they got married.","Before 20th, they got married.",Entailment,0.39285714285714285,SINGLE_date,True,Backward Past
110,They got married after 15th.,They got married before 6th.,Contradiction,0.32142857142857145,SINGLE_date,False,Forward Past
111,They got married after 15th.,They got married before 8th.,Contradiction,0.25,SINGLE_date,False,Forward Past
112,They got married before 11th.,They got married after 7th.,Neutral,0.14285714285714285,SINGLE_date,False,Forward Past
113,They got married before 14th.,They got married before 15th.,Entailment,0.03571428571428571,SINGLE_date,False,Forward Past
114,They got married after 10th.,They got married before 1st.,Contradiction,0.32142857142857145,SINGLE_date,False,Forward Past
115,"After 15th, they got married.","After 3rd, they got married.",Entailment,0.42857142857142855,SINGLE_date,False,Backward Past
116,"Before 24th, they got married.","After 27th, they got married.",Contradiction,0.10714285714285714,SINGLE_date,False,Backward Past
117,"Before 14th, they got married.","Before 21st, they got married.",Entailment,0.25,SINGLE_date,False,Backward Past
118,"After 18th, they got married.","After 7th, they got married.",Entailment,0.39285714285714285,SINGLE_date,False,Backward Past
119,"Before 9th, they got married.","Before 4th, they got married.",Neutral,0.17857142857142858,SINGLE_date,False,Backward Past
120,We went to Disneyland on Sunday.,We went to Disneyland before Tuesday.,Entailment,0.2857142857142857,SINGLE_day,True,Forward Past
121,We went to Disneyland on Wednesday.,We went to Disneyland after Tuesday.,Entailment,0.14285714285714285,SINGLE_day,True,Forward Past
122,We went to Disneyland on Tuesday.,We went to Disneyland before Wednesday.,Entailment,0.14285714285714285,SINGLE_day,True,Forward Past
123,We went to Disneyland on Thursday.,We went to Disneyland after Monday.,Entailment,0.42857142857142855,SINGLE_day,True,Forward Past
124,We went to Disneyland on Monday.,We went to Disneyland after Wednesday.,Contradiction,0.2857142857142857,SINGLE_day,True,Forward Past
125,"On Sunday, we went to Disneyland.","After Sunday, we went to Disneyland.",Contradiction,0.0,SINGLE_day,True,Backward Past
126,"On Thursday, we went to Disneyland.","After Tuesday, we went to Disneyland.",Entailment,0.2857142857142857,SINGLE_day,True,Backward Past
127,"On Monday, we went to Disneyland.","After Wednesday, we went to Disneyland.",Contradiction,0.2857142857142857,SINGLE_day,True,Backward Past
128,"On Tuesday, we went to Disneyland.","After Thursday, we went to Disneyland.",Contradiction,0.2857142857142857,SINGLE_day,True,Backward Past
129,"On Thursday, we went to Disneyland.","Before Thursday, we went to Disneyland.",Contradiction,0.0,SINGLE_day,True,Backward Past
130,We went to Disneyland after Monday.,We went to Disneyland before Sunday.,Contradiction,0.14285714285714285,SINGLE_day,False,Forward Past
131,We went to Disneyland before Sunday.,We went to Disneyland after Wednesday.,Contradiction,0.42857142857142855,SINGLE_day,False,Forward Past
132,We went to Disneyland before Monday.,We went to Disneyland after Sunday.,Neutral,0.14285714285714285,SINGLE_day,False,Forward Past
133,We went to Disneyland before Saturday.,We went to Disneyland after Saturday.,Contradiction,0.0,SINGLE_day,False,Forward Past
134,We went to Disneyland after Tuesday.,We went to Disneyland before Wednesday.,Neutral,0.14285714285714285,SINGLE_day,False,Forward Past
135,"Before Thursday, we went to Disneyland.","After Monday, we went to Disneyland.",Neutral,0.42857142857142855,SINGLE_day,False,Backward Past
136,"After Saturday, we went to Disneyland.","Before Friday, we went to Disneyland.",Contradiction,0.14285714285714285,SINGLE_day,False,Backward Past
137,"After Friday, we went to Disneyland.","After Thursday, we went to Disneyland.",Entailment,0.14285714285714285,SINGLE_day,False,Backward Past
138,"Before Saturday, we went to Disneyland.","After Saturday, we went to Disneyland.",Contradiction,0.0,SINGLE_day,False,Backward Past
139,"Before Saturday, we went to Disneyland.","Before Friday, we went to Disneyland.",Neutral,0.14285714285714285,SINGLE_day,False,Backward Past
140,We went to Disneyland in July.,We went to Disneyland after Apr.,Entailment,0.25,MULTI_month,True,Forward Past
141,We went to Disneyland in Dec.,We went to Disneyland after July.,Entailment,0.4166666666666667,MULTI_month,True,Forward Past
142,We went to Disneyland in November.,We went to Disneyland after Dec.,Contradiction,0.08333333333333333,MULTI_month,True,Forward Past
143,We went to Disneyland in Aug.,We went to Disneyland before June.,Contradiction,0.16666666666666666,MULTI_month,True,Forward Past
144,We went to Disneyland in Jan.,We went to Disneyland before January.,Contradiction,0.0,MULTI_month,True,Forward Past
145,"In Apr, we went to Disneyland.","After June, we went to Disneyland.",Contradiction,0.16666666666666666,MULTI_month,True,Backward Past
146,"In Apr, we went to Disneyland.","Before July, we went to Disneyland.",Entailment,0.25,MULTI_month,True,Backward Past
147,"In March, we went to Disneyland.","After Apr, we went to Disneyland.",Contradiction,0.08333333333333333,MULTI_month,True,Backward Past
148,"In Jun, we went to Disneyland.","After December, we went to Disneyland.",Contradiction,0.5,MULTI_month,True,Backward Past
149,"In Apr, we went to Disneyland.","After June, we went to Disneyland.",Contradiction,0.16666666666666666,MULTI_month,True,Backward Past
150,We went to Disneyland after Dec.,We went to Disneyland before August.,Contradiction,0.3333333333333333,MULTI_month,False,Forward Past
151,We went to Disneyland after April.,We went to Disneyland after Oct.,Neutral,0.5,MULTI_month,False,Forward Past
152,We went to Disneyland after July.,We went to Disneyland after Nov.,Neutral,0.3333333333333333,MULTI_month,False,Forward Past
153,We went to Disneyland before April.,We went to Disneyland after Jun.,Contradiction,0.16666666666666666,MULTI_month,False,Forward Past
154,We went to Disneyland before Jan.,We went to Disneyland before January.,Neutral,0.0,MULTI_month,False,Forward Past
155,"After December, we went to Disneyland.","After Dec, we went to Disneyland.",Neutral,0.0,MULTI_month,False,Backward Past
156,"After June, we went to Disneyland.","Before Nov, we went to Disneyland.",Neutral,0.4166666666666667,MULTI_month,False,Backward Past
157,"Before May, we went to Disneyland.","Before Jul, we went to Disneyland.",Entailment,0.16666666666666666,MULTI_month,False,Backward Past
158,"Before September, we went to Disneyland.","Before Nov, we went to Disneyland.",Entailment,0.16666666666666666,MULTI_month,False,Backward Past
159,"Before August, we went to Disneyland.","After Mar, we went to Disneyland.",Neutral,0.4166666666666667,MULTI_month,False,Backward Past
160,We went to Disneyland in 1970.,We went to Disneyland before 1982.,Entailment,0.1188118811881188,SINGLE_year,True,Forward Past
161,We went to Disneyland in 1918.,We went to Disneyland after 1933.,Contradiction,0.1485148514851485,SINGLE_year,True,Forward Past
162,We went to Disneyland in 1918.,We went to Disneyland after 1943.,Contradiction,0.24752475247524752,SINGLE_year,True,Forward Past
163,We went to Disneyland in 1930.,We went to Disneyland before 1967.,Entailment,0.36633663366336633,SINGLE_year,True,Forward Past
164,We went to Disneyland in 1953.,We went to Disneyland before 1992.,Entailment,0.38613861386138615,SINGLE_year,True,Forward Past
165,"In 1934, we went to Disneyland.","Before 1967, we went to Disneyland.",Entailment,0.32673267326732675,SINGLE_year,True,Backward Past
166,"In 1977, we went to Disneyland.","Before 1912, we went to Disneyland.",Contradiction,0.6435643564356436,SINGLE_year,True,Backward Past
167,"In 1950, we went to Disneyland.","After 1988, we went to Disneyland.",Contradiction,0.37623762376237624,SINGLE_year,True,Backward Past
168,"In 1955, we went to Disneyland.","After 1971, we went to Disneyland.",Contradiction,0.15841584158415842,SINGLE_year,True,Backward Past
169,"In 1928, we went to Disneyland.","Before 1971, we went to Disneyland.",Entailment,0.42574257425742573,SINGLE_year,True,Backward Past
170,We went to Disneyland before 1953.,We went to Disneyland before 1996.,Entailment,0.42574257425742573,SINGLE_year,False,Forward Past
171,We went to Disneyland after 1932.,We went to Disneyland after 1992.,Neutral,0.594059405940594,SINGLE_year,False,Forward Past
172,We went to Disneyland before 1966.,We went to Disneyland before 1908.,Neutral,0.5742574257425742,SINGLE_year,False,Forward Past
173,We went to Disneyland before 1989.,We went to Disneyland before 1992.,Entailment,0.0297029702970297,SINGLE_year,False,Forward Past
174,We went to Disneyland before 1911.,We went to Disneyland after 1937.,Contradiction,0.25742574257425743,SINGLE_year,False,Forward Past
175,"After 1914, we went to Disneyland.","Before 1921, we went to Disneyland.",Neutral,0.06930693069306931,SINGLE_year,False,Backward Past
176,"After 1965, we went to Disneyland.","After 1950, we went to Disneyland.",Entailment,0.1485148514851485,SINGLE_year,False,Backward Past
177,"After 1992, we went to Disneyland.","After 1982, we went to Disneyland.",Entailment,0.09900990099009901,SINGLE_year,False,Backward Past
178,"Before 1979, we went to Disneyland.","After 1988, we went to Disneyland.",Contradiction,0.0891089108910891,SINGLE_year,False,Backward Past
179,"After 1958, we went to Disneyland.","After 1980, we went to Disneyland.",Neutral,0.21782178217821782,SINGLE_year,False,Backward Past
180,We went to Disneyland in May.,We went to Disneyland before April.,Contradiction,0.08333333333333333,SINGLE_month_full,True,Forward Past
181,We went to Disneyland in October.,We went to Disneyland before April.,Contradiction,0.5,SINGLE_month_full,True,Forward Past
182,We went to Disneyland in May.,We went to Disneyland before September.,Entailment,0.3333333333333333,SINGLE_month_full,True,Forward Past
183,We went to Disneyland in October.,We went to Disneyland before December.,Entailment,0.16666666666666666,SINGLE_month_full,True,Forward Past
184,We went to Disneyland in May.,We went to Disneyland before May.,Contradiction,0.0,SINGLE_month_full,True,Forward Past
185,"In June, we went to Disneyland.","After August, we went to Disneyland.",Contradiction,0.16666666666666666,SINGLE_month_full,True,Backward Past
186,"In July, we went to Disneyland.","Before May, we went to Disneyland.",Contradiction,0.16666666666666666,SINGLE_month_full,True,Backward Past
187,"In November, we went to Disneyland.","Before May, we went to Disneyland.",Contradiction,0.5,SINGLE_month_full,True,Backward Past
188,"In April, we went to Disneyland.","Before March, we went to Disneyland.",Contradiction,0.08333333333333333,SINGLE_month_full,True,Backward Past
189,"In September, we went to Disneyland.","Before December, we went to Disneyland.",Entailment,0.25,SINGLE_month_full,True,Backward Past
190,We went to Disneyland before October.,We went to Disneyland after September.,Neutral,0.08333333333333333,SINGLE_month_full,False,Forward Past
191,We went to Disneyland before June.,We went to Disneyland before May.,Neutral,0.08333333333333333,SINGLE_month_full,False,Forward Past
192,We went to Disneyland before February.,We went to Disneyland before January.,Neutral,0.08333333333333333,SINGLE_month_full,False,Forward Past
193,We went to Disneyland after September.,We went to Disneyland before November.,Neutral,0.16666666666666666,SINGLE_month_full,False,Forward Past
194,We went to Disneyland before November.,We went to Disneyland after May.,Neutral,0.5,SINGLE_month_full,False,Forward Past
195,"After July, we went to Disneyland.","Before August, we went to Disneyland.",Neutral,0.08333333333333333,SINGLE_month_full,False,Backward Past
196,"Before January, we went to Disneyland.","Before July, we went to Disneyland.",Entailment,0.5,SINGLE_month_full,False,Backward Past
197,"Before May, we went to Disneyland.","Before September, we went to Disneyland.",Entailment,0.3333333333333333,SINGLE_month_full,False,Backward Past
198,"After June, we went to Disneyland.","After December, we went to Disneyland.",Neutral,0.5,SINGLE_month_full,False,Backward Past
199,"After September, we went to Disneyland.","Before May, we went to Disneyland.",Contradiction,0.3333333333333333,SINGLE_month_full,False,Backward Past
200,We went to Disneyland in Apr.,We went to Disneyland after May.,Contradiction,0.08333333333333333,SINGLE_month_abv,True,Forward Past
201,We went to Disneyland in Nov.,We went to Disneyland before Dec.,Entailment,0.08333333333333333,SINGLE_month_abv,True,Forward Past
202,We went to Disneyland in Oct.,We went to Disneyland before Apr.,Contradiction,0.5,SINGLE_month_abv,True,Forward Past
203,We went to Disneyland in Mar.,We went to Disneyland before Jul.,Entailment,0.3333333333333333,SINGLE_month_abv,True,Forward Past
204,We went to Disneyland in Jun.,We went to Disneyland after Jun.,Contradiction,0.0,SINGLE_month_abv,True,Forward Past
205,"In Jun, we went to Disneyland.","After Feb, we went to Disneyland.",Entailment,0.3333333333333333,SINGLE_month_abv,True,Backward Past
206,"In Feb, we went to Disneyland.","Before May, we went to Disneyland.",Entailment,0.25,SINGLE_month_abv,True,Backward Past
207,"In Aug, we went to Disneyland.","Before Feb, we went to Disneyland.",Contradiction,0.5,SINGLE_month_abv,True,Backward Past
208,"In Jun, we went to Disneyland.","Before Jul, we went to Disneyland.",Entailment,0.08333333333333333,SINGLE_month_abv,True,Backward Past
209,"In Sep, we went to Disneyland.","Before Dec, we went to Disneyland.",Entailment,0.25,SINGLE_month_abv,True,Backward Past
210,We went to Disneyland after Mar.,We went to Disneyland before Jun.,Neutral,0.25,SINGLE_month_abv,False,Forward Past
211,We went to Disneyland before Apr.,We went to Disneyland before Aug.,Entailment,0.3333333333333333,SINGLE_month_abv,False,Forward Past
212,We went to Disneyland after Feb.,We went to Disneyland after Jan.,Entailment,0.08333333333333333,SINGLE_month_abv,False,Forward Past
213,We went to Disneyland after Dec.,We went to Disneyland before Jul.,Contradiction,0.4166666666666667,SINGLE_month_abv,False,Forward Past
214,We went to Disneyland before May.,We went to Disneyland before Jan.,Neutral,0.3333333333333333,SINGLE_month_abv,False,Forward Past
215,"After May, we went to Disneyland.","After Mar, we went to Disneyland.",Entailment,0.16666666666666666,SINGLE_month_abv,False,Backward Past
216,"After Apr, we went to Disneyland.","After Feb, we went to Disneyland.",Entailment,0.16666666666666666,SINGLE_month_abv,False,Backward Past
217,"After Jun, we went to Disneyland.","After Mar, we went to Disneyland.",Entailment,0.25,SINGLE_month_abv,False,Backward Past
218,"Before Apr, we went to Disneyland.","Before Jun, we went to Disneyland.",Entailment,0.16666666666666666,SINGLE_month_abv,False,Backward Past
219,"After May, we went to Disneyland.","Before Nov, we went to Disneyland.",Neutral,0.5,SINGLE_month_abv,False,Backward Past
220,We went to Disneyland on 13th.,We went to Disneyland before 9th.,Contradiction,0.14285714285714285,SINGLE_date,True,Forward Past
221,We went to Disneyland on 15th.,We went to Disneyland after 18th.,Contradiction,0.10714285714285714,SINGLE_date,True,Forward Past
222,We went to Disneyland on 22nd.,We went to Disneyland before 11th.,Contradiction,0.39285714285714285,SINGLE_date,True,Forward Past
223,We went to Disneyland on 16th.,We went to Disneyland after 3rd.,Entailment,0.4642857142857143,SINGLE_date,True,Forward Past
224,We went to Disneyland on 13th.,We went to Disneyland before 5th.,Contradiction,0.2857142857142857,SINGLE_date,True,Forward Past
225,"On 3rd, we went to Disneyland.","After 11th, we went to Disneyland.",Contradiction,0.2857142857142857,SINGLE_date,True,Backward Past
226,"On 22nd, we went to Disneyland.","After 14th, we went to Disneyland.",Entailment,0.2857142857142857,SINGLE_date,True,Backward Past
227,"On 2nd, we went to Disneyland.","Before 3rd, we went to Disneyland.",Entailment,0.03571428571428571,SINGLE_date,True,Backward Past
228,"On 26th, we went to Disneyland.","Before 26th, we went to Disneyland.",Contradiction,0.0,SINGLE_date,True,Backward Past
229,"On 22nd, we went to Disneyland.","Before 19th, we went to Disneyland.",Contradiction,0.10714285714285714,SINGLE_date,True,Backward Past
230,We went to Disneyland after 15th.,We went to Disneyland after 26th.,Neutral,0.39285714285714285,SINGLE_date,False,Forward Past
231,We went to Disneyland after 11th.,We went to Disneyland before 24th.,Neutral,0.4642857142857143,SINGLE_date,False,Forward Past
232,We went to Disneyland before 19th.,We went to Disneyland before 24th.,Entailment,0.17857142857142858,SINGLE_date,False,Forward Past
233,We went to Disneyland before 10th.,We went to Disneyland before 6th.,Neutral,0.14285714285714285,SINGLE_date,False,Forward Past
234,We went to Disneyland after 25th.,We went to Disneyland after 11th.,Entailment,0.5,SINGLE_date,False,Forward Past
235,"After 27th, we went to Disneyland.","After 15th, we went to Disneyland.",Entailment,0.42857142857142855,SINGLE_date,False,Backward Past
236,"Before 16th, we went to Disneyland.","Before 15th, we went to Disneyland.",Neutral,0.03571428571428571,SINGLE_date,False,Backward Past
237,"Before 14th, we went to Disneyland.","After 17th, we went to Disneyland.",Contradiction,0.10714285714285714,SINGLE_date,False,Backward Past
238,"After 12th, we went to Disneyland.","Before 12th, we went to Disneyland.",Contradiction,0.0,SINGLE_date,False,Backward Past
239,"After 1st, we went to Disneyland.","Before 15th, we went to Disneyland.",Neutral,0.5,SINGLE_date,False,Backward Past
240,Michael bought the house on Friday.,Michael bought the house before Thursday.,Contradiction,0.14285714285714285,SINGLE_day,True,Forward Past
241,Michael bought the house on Saturday.,Michael bought the house before Saturday.,Contradiction,0.0,SINGLE_day,True,Forward Past
242,Michael bought the house on Thursday.,Michael bought the house before Wednesday.,Contradiction,0.14285714285714285,SINGLE_day,True,Forward Past
243,Michael bought the house on Friday.,Michael bought the house after Friday.,Contradiction,0.0,SINGLE_day,True,Forward Past
244,Michael bought the house on Friday.,Michael bought the house after Friday.,Contradiction,0.0,SINGLE_day,True,Forward Past
245,"On Monday, Michael bought the house.","Before Wednesday, Michael bought the house.",Entailment,0.2857142857142857,SINGLE_day,True,Backward Past
246,"On Sunday, Michael bought the house.","Before Wednesday, Michael bought the house.",Entailment,0.42857142857142855,SINGLE_day,True,Backward Past
