,Premise,Hypothesis,Label,Type,Prem Fixed,Temp Type
28,The conference was held before 8 AM.,The conference was held before 1 PM.,Entailment,SINGLE_day_time_12,False,Forward
29,The city had a huge power outage after 7 AM.,The city had a huge power outage before 6 PM.,Neutral,SINGLE_day_time_12,False,Forward
30,A tsunami hit the coast before 5 PM.,A tsunami hit the coast after 9 AM.,Neutral,SINGLE_day_time_12,False,Forward
31,This team won the world cup before 7 AM.,This team won the world cup after 5 PM.,Contradiction,SINGLE_day_time_12,False,Forward
32,Her internship at Google began before 5 PM.,Her internship at Google began before 7 AM.,Neutral,SINGLE_day_time_12,False,Forward
33,The country declared martial law before 1 PM.,The country declared martial law after 9 AM.,Neutral,SINGLE_day_time_12,False,Forward
34,The price of this stock peaked after 7 AM.,The price of this stock peaked after 6 PM.,Neutral,SINGLE_day_time_12,False,Forward
35,The failing company issued major layoffs before 12 PM.,The failing company issued major layoffs before 8 PM.,Entailment,SINGLE_day_time_12,False,Forward
36,The government budget comes out after 5 PM.,The government budget comes out after 10 PM.,Neutral,SINGLE_day_time_12,False,Forward
37,The prison sentence of that convict ends before 5 PM.,The prison sentence of that convict ends before 6 PM.,Entailment,SINGLE_day_time_12,False,Forward
38,This article was published after 8 AM.,This article was published before 3 PM.,Neutral,SINGLE_day_time_12,False,Forward
39,I posted this picture on Instagram after 3 AM.,I posted this picture on Instagram before 10 AM.,Neutral,SINGLE_day_time_12,False,Forward
40,"At 4 AM, they got married.","After 7 AM, they got married.",Contradiction,SINGLE_day_time_12,True,Backward
41,"At 3 PM, we went to Disneyland.","After 7 AM, we went to Disneyland.",Entailment,SINGLE_day_time_12,True,Backward
42,"At 5 AM, Michael will buy the house.","After 2 AM, Michael will buy the house.",Entailment,SINGLE_day_time_12,True,Backward
43,"At 10 AM, Lily flew to New York.","After 3 PM, Lily flew to New York.",Contradiction,SINGLE_day_time_12,True,Backward
44,"At 9 AM, the music concert starts.","Before 9 PM, the music concert starts.",Entailment,SINGLE_day_time_12,True,Backward
45,"At 11 AM, the tiger was last spotted.","Before 2 PM, the tiger was last spotted.",Entailment,SINGLE_day_time_12,True,Backward
46,"At 2 AM, I last had dinner with my friends.","Before 1 PM, I last had dinner with my friends.",Entailment,SINGLE_day_time_12,True,Backward
47,"At 1 PM, he left his job.","After 7 PM, he left his job.",Contradiction,SINGLE_day_time_12,True,Backward
48,"At 2 PM, the conference was held.","Before 7 PM, the conference was held.",Entailment,SINGLE_day_time_12,True,Backward
49,"At 1 AM, the city had a huge power outage.","After 12 AM, the city had a huge power outage.",Entailment,SINGLE_day_time_12,True,Backward
50,"At 10 PM, a tsunami hit the coast.","Before 6 PM, a tsunami hit the coast.",Contradiction,SINGLE_day_time_12,True,Backward
51,"At 1 PM, this team won the world cup.","After 5 PM, this team won the world cup.",Contradiction,SINGLE_day_time_12,True,Backward
52,"At 7 PM, her internship at Google began.","Before 10 AM, her internship at Google began.",Contradiction,SINGLE_day_time_12,True,Backward
53,"At 4 PM, the country declared martial law.","Before 7 PM, the country declared martial law.",Entailment,SINGLE_day_time_12,True,Backward
54,"At 2 PM, the price of this stock peaked.","Before 3 AM, the price of this stock peaked.",Contradiction,SINGLE_day_time_12,True,Backward
55,"At 6 AM, the failing company issued major layoffs.","After 11 AM, the failing company issued major layoffs.",Contradiction,SINGLE_day_time_12,True,Backward
56,"At 9 PM, the government budget comes out.","Before 3 PM, the government budget comes out.",Contradiction,SINGLE_day_time_12,True,Backward
57,"At 1 PM, the prison sentence of that convict ends.","After 11 AM, the prison sentence of that convict ends.",Entailment,SINGLE_day_time_12,True,Backward
58,"At 4 AM, this article was published.","Before 12 AM, this article was published.",Contradiction,SINGLE_day_time_12,True,Backward
59,"At 3 AM, I posted this picture on Instagram.","After 4 AM, I posted this picture on Instagram.",Contradiction,SINGLE_day_time_12,True,Backward
60,"After 9 AM, they got married.","Before 10 AM, they got married.",Neutral,SINGLE_day_time_12,False,Backward
61,"Before 4 PM, we went to Disneyland.","After 2 PM, we went to Disneyland.",Neutral,SINGLE_day_time_12,False,Backward
62,"Before 11 AM, Michael will buy the house.","Before 10 PM, Michael will buy the house.",Entailment,SINGLE_day_time_12,False,Backward
63,"After 8 AM, Lily flew to New York.","After 3 PM, Lily flew to New York.",Neutral,SINGLE_day_time_12,False,Backward
64,"Before 7 PM, the music concert starts.","After 5 PM, the music concert starts.",Neutral,SINGLE_day_time_12,False,Backward
65,"After 7 AM, the tiger was last spotted.","Before 4 PM, the tiger was last spotted.",Neutral,SINGLE_day_time_12,False,Backward
66,"After 2 AM, I last had dinner with my friends.","After 8 AM, I last had dinner with my friends.",Neutral,SINGLE_day_time_12,False,Backward
67,"Before 3 PM, he left his job.","Before 11 PM, he left his job.",Entailment,SINGLE_day_time_12,False,Backward
68,"After 6 PM, the conference was held.","After 4 PM, the conference was held.",Entailment,SINGLE_day_time_12,False,Backward
69,"After 6 PM, the city had a huge power outage.","After 9 AM, the city had a huge power outage.",Entailment,SINGLE_day_time_12,False,Backward
70,"Before 9 PM, a tsunami hit the coast.","After 11 PM, a tsunami hit the coast.",Contradiction,SINGLE_day_time_12,False,Backward
71,"Before 8 AM, this team won the world cup.","Before 2 AM, this team won the world cup.",Neutral,SINGLE_day_time_12,False,Backward
72,"After 9 PM, her internship at Google began.","After 2 PM, her internship at Google began.",Entailment,SINGLE_day_time_12,False,Backward
73,"Before 6 PM, the country declared martial law.","After 10 PM, the country declared martial law.",Contradiction,SINGLE_day_time_12,False,Backward
74,"Before 11 PM, the price of this stock peaked.","After 5 PM, the price of this stock peaked.",Neutral,SINGLE_day_time_12,False,Backward
75,"Before 12 AM, the failing company issued major layoffs.","After 3 AM, the failing company issued major layoffs.",Contradiction,SINGLE_day_time_12,False,Backward
76,"Before 6 PM, the government budget comes out.","After 1 PM, the government budget comes out.",Neutral,SINGLE_day_time_12,False,Backward
77,"Before 3 PM, the prison sentence of that convict ends.","Before 11 AM, the prison sentence of that convict ends.",Neutral,SINGLE_day_time_12,False,Backward
78,"Before 11 AM, this article was published.","After 5 AM, this article was published.",Neutral,SINGLE_day_time_12,False,Backward
79,"After 7 PM, I posted this picture on Instagram.","After 1 PM, I posted this picture on Instagram.",Entailment,SINGLE_day_time_12,False,Backward
80,They got married at 6 AM.,They got married before 7 AM.,Entailment,SINGLE_day_time_12,True,Forward
81,We went to Disneyland at 7 PM.,We went to Disneyland after 3 PM.,Entailment,SINGLE_day_time_12,True,Forward
82,Michael will buy the house at 4 PM.,Michael will buy the house before 7 AM.,Contradiction,SINGLE_day_time_12,True,Forward
83,Lily flew to New York at 12 AM.,Lily flew to New York after 12 AM.,Contradiction,SINGLE_day_time_12,True,Forward
84,The music concert starts at 9 AM.,The music concert starts after 6 AM.,Entailment,SINGLE_day_time_12,True,Forward
85,The tiger was last spotted at 7 PM.,The tiger was last spotted after 3 PM.,Entailment,SINGLE_day_time_12,True,Forward
86,I last had dinner with my friends at 8 PM.,I last had dinner with my friends before 8 PM.,Contradiction,SINGLE_day_time_12,True,Forward
87,He left his job at 8 AM.,He left his job before 8 PM.,Entailment,SINGLE_day_time_12,True,Forward
88,The conference was held at 6 PM.,The conference was held after 10 PM.,Contradiction,SINGLE_day_time_12,True,Forward
89,The city had a huge power outage at 4 AM.,The city had a huge power outage after 4 AM.,Contradiction,SINGLE_day_time_12,True,Forward
90,A tsunami hit the coast at 10 AM.,A tsunami hit the coast after 9 AM.,Entailment,SINGLE_day_time_12,True,Forward
91,This team won the world cup at 4 AM.,This team won the world cup after 1 AM.,Entailment,SINGLE_day_time_12,True,Forward
92,Her internship at Google began at 2 PM.,Her internship at Google began after 7 PM.,Contradiction,SINGLE_day_time_12,True,Forward
93,The country declared martial law at 12 PM.,The country declared martial law after 9 PM.,Contradiction,SINGLE_day_time_12,True,Forward
94,The price of this stock peaked at 11 AM.,The price of this stock peaked before 5 PM.,Entailment,SINGLE_day_time_12,True,Forward
95,The failing company issued major layoffs at 3 PM.,The failing company issued major layoffs after 1 PM.,Entailment,SINGLE_day_time_12,True,Forward
96,The government budget comes out at 3 PM.,The government budget comes out after 7 AM.,Entailment,SINGLE_day_time_12,True,Forward
97,The prison sentence of that convict ends at 4 AM.,The prison sentence of that convict ends after 12 PM.,Contradiction,SINGLE_day_time_12,True,Forward
98,This article was published at 7 PM.,This article was published before 10 PM.,Entailment,SINGLE_day_time_12,True,Forward
99,I posted this picture on Instagram at 10 PM.,I posted this picture on Instagram before 9 PM.,Contradiction,SINGLE_day_time_12,True,Forward
100,They got married before 11 AM.,They got married after 10 AM.,Neutral,SINGLE_day_time_12,False,Forward
101,We went to Disneyland after 5 AM.,We went to Disneyland after 2 PM.,Neutral,SINGLE_day_time_12,False,Forward
102,Michael will buy the house after 2 PM.,Michael will buy the house after 6 PM.,Neutral,SINGLE_day_time_12,False,Forward
103,Lily flew to New York before 5 PM.,Lily flew to New York before 6 PM.,Entailment,SINGLE_day_time_12,False,Forward
104,The music concert starts after 7 AM.,The music concert starts after 12 PM.,Neutral,SINGLE_day_time_12,False,Forward
105,The tiger was last spotted after 6 PM.,The tiger was last spotted after 7 PM.,Neutral,SINGLE_day_time_12,False,Forward
106,I last had dinner with my friends before 11 AM.,I last had dinner with my friends after 3 AM.,Neutral,SINGLE_day_time_12,False,Forward
107,He left his job before 5 AM.,He left his job before 3 AM.,Neutral,SINGLE_day_time_12,False,Forward
108,The conference was held after 6 PM.,The conference was held after 12 PM.,Entailment,SINGLE_day_time_12,False,Forward
109,The city had a huge power outage after 12 PM.,The city had a huge power outage after 1 AM.,Entailment,SINGLE_day_time_12,False,Forward
110,A tsunami hit the coast after 1 PM.,A tsunami hit the coast after 8 AM.,Entailment,SINGLE_day_time_12,False,Forward
111,This team won the world cup before 2 PM.,This team won the world cup after 2 AM.,Neutral,SINGLE_day_time_12,False,Forward
112,Her internship at Google began after 3 AM.,Her internship at Google began after 12 PM.,Neutral,SINGLE_day_time_12,False,Forward
113,The country declared martial law after 1 PM.,The country declared martial law before 1 AM.,Contradiction,SINGLE_day_time_12,False,Forward
114,The price of this stock peaked after 8 AM.,The price of this stock peaked after 1 PM.,Neutral,SINGLE_day_time_12,False,Forward
115,The failing company issued major layoffs after 9 AM.,The failing company issued major layoffs before 5 AM.,Contradiction,SINGLE_day_time_12,False,Forward
116,The government budget comes out before 12 PM.,The government budget comes out after 11 PM.,Contradiction,SINGLE_day_time_12,False,Forward
117,The prison sentence of that convict ends before 7 AM.,The prison sentence of that convict ends before 5 PM.,Entailment,SINGLE_day_time_12,False,Forward
118,This article was published before 2 AM.,This article was published after 5 AM.,Contradiction,SINGLE_day_time_12,False,Forward
119,I posted this picture on Instagram before 2 PM.,I posted this picture on Instagram before 9 PM.,Entailment,SINGLE_day_time_12,False,Forward
120,"At 5 PM, they got married.","Before 5 AM, they got married.",Contradiction,SINGLE_day_time_12,True,Backward
121,"At 1 PM, we went to Disneyland.","Before 10 PM, we went to Disneyland.",Entailment,SINGLE_day_time_12,True,Backward
122,"At 12 PM, Michael will buy the house.","After 2 AM, Michael will buy the house.",Entailment,SINGLE_day_time_12,True,Backward
123,"At 2 PM, Lily flew to New York.","Before 10 AM, Lily flew to New York.",Contradiction,SINGLE_day_time_12,True,Backward
124,"At 9 AM, the music concert starts.","Before 3 PM, the music concert starts.",Entailment,SINGLE_day_time_12,True,Backward
125,"At 9 PM, the tiger was last spotted.","After 10 PM, the tiger was last spotted.",Contradiction,SINGLE_day_time_12,True,Backward
126,"At 12 AM, I last had dinner with my friends.","Before 9 AM, I last had dinner with my friends.",Entailment,SINGLE_day_time_12,True,Backward
127,"At 9 PM, he left his job.","Before 6 PM, he left his job.",Contradiction,SINGLE_day_time_12,True,Backward
128,"At 8 AM, the conference was held.","Before 3 AM, the conference was held.",Contradiction,SINGLE_day_time_12,True,Backward
129,"At 4 AM, the city had a huge power outage.","Before 6 AM, the city had a huge power outage.",Entailment,SINGLE_day_time_12,True,Backward
130,"At 4 AM, a tsunami hit the coast.","After 12 PM, a tsunami hit the coast.",Contradiction,SINGLE_day_time_12,True,Backward
131,"At 12 AM, this team won the world cup.","After 12 PM, this team won the world cup.",Contradiction,SINGLE_day_time_12,True,Backward
132,"At 12 PM, her internship at Google began.","After 12 PM, her internship at Google began.",Contradiction,SINGLE_day_time_12,True,Backward
133,"At 11 PM, the country declared martial law.","Before 9 PM, the country declared martial law.",Contradiction,SINGLE_day_time_12,True,Backward
134,"At 10 PM, the price of this stock peaked.","After 2 PM, the price of this stock peaked.",Entailment,SINGLE_day_time_12,True,Backward
135,"At 10 AM, the failing company issued major layoffs.","After 8 PM, the failing company issued major layoffs.",Contradiction,SINGLE_day_time_12,True,Backward
136,"At 12 PM, the government budget comes out.","After 11 PM, the government budget comes out.",Contradiction,SINGLE_day_time_12,True,Backward
137,"At 5 PM, the prison sentence of that convict ends.","Before 9 AM, the prison sentence of that convict ends.",Contradiction,SINGLE_day_time_12,True,Backward
138,"At 6 AM, this article was published.","After 11 AM, this article was published.",Contradiction,SINGLE_day_time_12,True,Backward
139,"At 4 PM, I posted this picture on Instagram.","Before 3 PM, I posted this picture on Instagram.",Contradiction,SINGLE_day_time_12,True,Backward
140,"Before 11 PM, they got married.","Before 1 PM, they got married.",Neutral,SINGLE_day_time_12,False,Backward
141,"Before 7 PM, we went to Disneyland.","After 11 PM, we went to Disneyland.",Contradiction,SINGLE_day_time_12,False,Backward
142,"After 9 AM, Michael will buy the house.","Before 6 PM, Michael will buy the house.",Neutral,SINGLE_day_time_12,False,Backward
143,"After 3 PM, Lily flew to New York.","After 11 AM, Lily flew to New York.",Entailment,SINGLE_day_time_12,False,Backward
144,"Before 11 AM, the music concert starts.","Before 6 PM, the music concert starts.",Entailment,SINGLE_day_time_12,False,Backward
145,"Before 2 PM, the tiger was last spotted.","After 8 PM, the tiger was last spotted.",Contradiction,SINGLE_day_time_12,False,Backward
146,"After 5 PM, I last had dinner with my friends.","Before 10 PM, I last had dinner with my friends.",Neutral,SINGLE_day_time_12,False,Backward
147,"Before 5 PM, he left his job.","Before 2 PM, he left his job.",Neutral,SINGLE_day_time_12,False,Backward
148,"After 2 AM, the conference was held.","After 9 AM, the conference was held.",Neutral,SINGLE_day_time_12,False,Backward
149,"After 7 AM, the city had a huge power outage.","Before 1 PM, the city had a huge power outage.",Neutral,SINGLE_day_time_12,False,Backward
150,"After 1 AM, a tsunami hit the coast.","After 12 PM, a tsunami hit the coast.",Neutral,SINGLE_day_time_12,False,Backward
151,"After 11 AM, this team won the world cup.","After 1 AM, this team won the world cup.",Entailment,SINGLE_day_time_12,False,Backward
152,"Before 6 PM, her internship at Google began.","After 7 AM, her internship at Google began.",Neutral,SINGLE_day_time_12,False,Backward
153,"Before 4 AM, the country declared martial law.","Before 12 PM, the country declared martial law.",Entailment,SINGLE_day_time_12,False,Backward
154,"Before 10 AM, the price of this stock peaked.","After 6 PM, the price of this stock peaked.",Contradiction,SINGLE_day_time_12,False,Backward
155,"After 3 AM, the failing company issued major layoffs.","Before 12 PM, the failing company issued major layoffs.",Neutral,SINGLE_day_time_12,False,Backward
156,"After 9 AM, the government budget comes out.","After 5 AM, the government budget comes out.",Entailment,SINGLE_day_time_12,False,Backward
157,"After 4 PM, the prison sentence of that convict ends.","Before 9 PM, the prison sentence of that convict ends.",Neutral,SINGLE_day_time_12,False,Backward
158,"After 3 AM, this article was published.","Before 3 PM, this article was published.",Neutral,SINGLE_day_time_12,False,Backward
159,"Before 12 PM, I posted this picture on Instagram.","After 10 PM, I posted this picture on Instagram.",Contradiction,SINGLE_day_time_12,False,Backward
160,They got married at 9 AM.,They got married before 2 PM.,Entailment,SINGLE_day_time_12,True,Forward
161,We went to Disneyland at 5 AM.,We went to Disneyland before 3 PM.,Entailment,SINGLE_day_time_12,True,Forward
162,Michael will buy the house at 11 AM.,Michael will buy the house after 6 PM.,Contradiction,SINGLE_day_time_12,True,Forward
163,Lily flew to New York at 6 PM.,Lily flew to New York after 8 PM.,Contradiction,SINGLE_day_time_12,True,Forward
164,The music concert starts at 12 AM.,The music concert starts before 6 AM.,Entailment,SINGLE_day_time_12,True,Forward
165,The tiger was last spotted at 8 AM.,The tiger was last spotted after 4 PM.,Contradiction,SINGLE_day_time_12,True,Forward
166,I last had dinner with my friends at 2 AM.,I last had dinner with my friends before 1 AM.,Contradiction,SINGLE_day_time_12,True,Forward
167,He left his job at 8 AM.,He left his job after 4 PM.,Contradiction,SINGLE_day_time_12,True,Forward
168,The conference was held at 2 PM.,The conference was held after 11 PM.,Contradiction,SINGLE_day_time_12,True,Forward
169,The city had a huge power outage at 12 AM.,The city had a huge power outage after 8 AM.,Contradiction,SINGLE_day_time_12,True,Forward
170,A tsunami hit the coast at 11 AM.,A tsunami hit the coast after 9 PM.,Contradiction,SINGLE_day_time_12,True,Forward
171,This team won the world cup at 5 AM.,This team won the world cup after 1 AM.,Entailment,SINGLE_day_time_12,True,Forward
172,Her internship at Google began at 5 AM.,Her internship at Google began after 12 PM.,Contradiction,SINGLE_day_time_12,True,Forward
173,The country declared martial law at 6 AM.,The country declared martial law after 5 AM.,Entailment,SINGLE_day_time_12,True,Forward
174,The price of this stock peaked at 10 PM.,The price of this stock peaked after 10 AM.,Entailment,SINGLE_day_time_12,True,Forward
175,The failing company issued major layoffs at 3 PM.,The failing company issued major layoffs before 3 AM.,Contradiction,SINGLE_day_time_12,True,Forward
176,The government budget comes out at 2 AM.,The government budget comes out before 11 AM.,Entailment,SINGLE_day_time_12,True,Forward
177,The prison sentence of that convict ends at 7 PM.,The prison sentence of that convict ends before 3 PM.,Contradiction,SINGLE_day_time_12,True,Forward
178,This article was published at 1 PM.,This article was published after 3 AM.,Entailment,SINGLE_day_time_12,True,Forward
179,I posted this picture on Instagram at 1 AM.,I posted this picture on Instagram before 6 AM.,Entailment,SINGLE_day_time_12,True,Forward
180,They got married before 2 PM.,They got married before 5 PM.,Entailment,SINGLE_day_time_12,False,Forward
181,We went to Disneyland after 2 AM.,We went to Disneyland after 3 AM.,Neutral,SINGLE_day_time_12,False,Forward
182,Michael will buy the house before 4 AM.,Michael will buy the house after 11 AM.,Contradiction,SINGLE_day_time_12,False,Forward
183,Lily flew to New York before 7 AM.,Lily flew to New York before 1 AM.,Neutral,SINGLE_day_time_12,False,Forward
184,The music concert starts after 5 PM.,The music concert starts after 11 AM.,Entailment,SINGLE_day_time_12,False,Forward
185,The tiger was last spotted before 4 PM.,The tiger was last spotted before 4 AM.,Neutral,SINGLE_day_time_12,False,Forward
186,I last had dinner with my friends before 8 AM.,I last had dinner with my friends after 1 PM.,Contradiction,SINGLE_day_time_12,False,Forward
187,He left his job after 11 PM.,He left his job after 7 PM.,Entailment,SINGLE_day_time_12,False,Forward
188,The conference was held before 4 PM.,The conference was held before 6 PM.,Entailment,SINGLE_day_time_12,False,Forward
189,The city had a huge power outage after 7 PM.,The city had a huge power outage after 3 PM.,Entailment,SINGLE_day_time_12,False,Forward
190,A tsunami hit the coast after 9 AM.,A tsunami hit the coast before 3 PM.,Neutral,SINGLE_day_time_12,False,Forward
191,This team won the world cup before 9 AM.,This team won the world cup before 3 PM.,Entailment,SINGLE_day_time_12,False,Forward
192,Her internship at Google began after 1 PM.,Her internship at Google began after 1 AM.,Entailment,SINGLE_day_time_12,False,Forward
193,The country declared martial law after 11 AM.,The country declared martial law before 5 AM.,Contradiction,SINGLE_day_time_12,False,Forward
194,The price of this stock peaked before 6 AM.,The price of this stock peaked before 10 AM.,Entailment,SINGLE_day_time_12,False,Forward
195,The failing company issued major layoffs before 4 PM.,The failing company issued major layoffs after 9 PM.,Contradiction,SINGLE_day_time_12,False,Forward
196,The government budget comes out after 4 PM.,The government budget comes out after 10 AM.,Entailment,SINGLE_day_time_12,False,Forward
197,The prison sentence of that convict ends before 6 PM.,The prison sentence of that convict ends after 11 PM.,Contradiction,SINGLE_day_time_12,False,Forward
198,This article was published before 8 PM.,This article was published after 8 PM.,Contradiction,SINGLE_day_time_12,False,Forward
199,I posted this picture on Instagram after 10 AM.,I posted this picture on Instagram before 10 PM.,Neutral,SINGLE_day_time_12,False,Forward
200,"At 9 AM, they got married.","After 12 PM, they got married.",Contradiction,SINGLE_day_time_12,True,Backward
201,"At 11 AM, we went to Disneyland.","Before 9 PM, we went to Disneyland.",Entailment,SINGLE_day_time_12,True,Backward
202,"At 2 PM, Michael will buy the house.","Before 3 PM, Michael will buy the house.",Entailment,SINGLE_day_time_12,True,Backward
203,"At 3 AM, Lily flew to New York.","After 12 PM, Lily flew to New York.",Contradiction,SINGLE_day_time_12,True,Backward
204,"At 1 AM, the music concert starts.","Before 10 AM, the music concert starts.",Entailment,SINGLE_day_time_12,True,Backward
205,"At 10 AM, the tiger was last spotted.","After 6 AM, the tiger was last spotted.",Entailment,SINGLE_day_time_12,True,Backward
206,"At 9 AM, I last had dinner with my friends.","After 8 PM, I last had dinner with my friends.",Contradiction,SINGLE_day_time_12,True,Backward
207,"At 11 AM, he left his job.","Before 4 PM, he left his job.",Entailment,SINGLE_day_time_12,True,Backward
208,"At 8 AM, the conference was held.","Before 6 PM, the conference was held.",Entailment,SINGLE_day_time_12,True,Backward
209,"At 12 PM, the city had a huge power outage.","Before 4 PM, the city had a huge power outage.",Entailment,SINGLE_day_time_12,True,Backward
210,"At 9 AM, a tsunami hit the coast.","After 9 PM, a tsunami hit the coast.",Contradiction,SINGLE_day_time_12,True,Backward
211,"At 11 AM, this team won the world cup.","After 5 PM, this team won the world cup.",Contradiction,SINGLE_day_time_12,True,Backward
212,"At 1 PM, her internship at Google began.","Before 4 PM, her internship at Google began.",Entailment,SINGLE_day_time_12,True,Backward
213,"At 1 AM, the country declared martial law.","After 10 AM, the country declared martial law.",Contradiction,SINGLE_day_time_12,True,Backward
214,"At 4 AM, the price of this stock peaked.","After 2 PM, the price of this stock peaked.",Contradiction,SINGLE_day_time_12,True,Backward
215,"At 2 PM, the failing company issued major layoffs.","After 8 AM, the failing company issued major layoffs.",Entailment,SINGLE_day_time_12,True,Backward
216,"At 5 PM, the government budget comes out.","Before 12 PM, the government budget comes out.",Contradiction,SINGLE_day_time_12,True,Backward
217,"At 4 AM, the prison sentence of that convict ends.","Before 1 PM, the prison sentence of that convict ends.",Entailment,SINGLE_day_time_12,True,Backward
218,"At 1 AM, this article was published.","Before 11 AM, this article was published.",Entailment,SINGLE_day_time_12,True,Backward
219,"At 6 AM, I posted this picture on Instagram.","Before 11 AM, I posted this picture on Instagram.",Entailment,SINGLE_day_time_12,True,Backward
220,"Before 8 AM, they got married.","Before 12 AM, they got married.",Neutral,SINGLE_day_time_12,False,Backward
221,"After 7 AM, we went to Disneyland.","After 12 AM, we went to Disneyland.",Entailment,SINGLE_day_time_12,False,Backward
222,"Before 12 AM, Michael will buy the house.","Before 4 AM, Michael will buy the house.",Entailment,SINGLE_day_time_12,False,Backward
223,"After 4 AM, Lily flew to New York.","Before 6 AM, Lily flew to New York.",Neutral,SINGLE_day_time_12,False,Backward
224,"After 5 PM, the music concert starts.","Before 9 PM, the music concert starts.",Neutral,SINGLE_day_time_12,False,Backward
225,"Before 4 PM, the tiger was last spotted.","Before 8 PM, the tiger was last spotted.",Entailment,SINGLE_day_time_12,False,Backward
226,"Before 12 PM, I last had dinner with my friends.","After 12 PM, I last had dinner with my friends.",Contradiction,SINGLE_day_time_12,False,Backward
227,"After 2 AM, he left his job.","Before 1 PM, he left his job.",Neutral,SINGLE_day_time_12,False,Backward
228,"Before 2 PM, the conference was held.","Before 9 PM, the conference was held.",Entailment,SINGLE_day_time_12,False,Backward
229,"Before 7 AM, the city had a huge power outage.","Before 8 AM, the city had a huge power outage.",Entailment,SINGLE_day_time_12,False,Backward
230,"After 11 AM, a tsunami hit the coast.","Before 7 AM, a tsunami hit the coast.",Contradiction,SINGLE_day_time_12,False,Backward
231,"After 11 PM, this team won the world cup.","Before 11 PM, this team won the world cup.",Contradiction,SINGLE_day_time_12,False,Backward
232,"Before 11 PM, her internship at Google began.","Before 6 PM, her internship at Google began.",Neutral,SINGLE_day_time_12,False,Backward
233,"Before 9 PM, the country declared martial law.","Before 11 AM, the country declared martial law.",Neutral,SINGLE_day_time_12,False,Backward
234,"After 12 PM, the price of this stock peaked.","Before 6 AM, the price of this stock peaked.",Contradiction,SINGLE_day_time_12,False,Backward
235,"Before 7 PM, the failing company issued major layoffs.","After 5 PM, the failing company issued major layoffs.",Neutral,SINGLE_day_time_12,False,Backward
236,"After 8 PM, the government budget comes out.","Before 6 PM, the government budget comes out.",Contradiction,SINGLE_day_time_12,False,Backward
