,Premise,Hypothesis,Label,Type,Dur Type,Next Cycle,Temp Type
13,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for 16 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,True,Spread
14,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for 150 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,True,Spread
15,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for 14 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,True,Spread
16,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for more than 15 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,True,Spread
17,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for more than 16 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,True,Spread
18,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for more than 150 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,True,Spread
19,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for more than 14 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,True,Spread
20,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for less than 15 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,True,Spread
21,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for less than 16 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,True,Spread
22,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for less than 150 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,True,Spread
23,The football game will begin at 2 PM and end at 5 AM.,The football game will be telecasted for less than 14 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,True,Spread
24,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for 18 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,True,Spread
25,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for 19 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,True,Spread
26,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for 180 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,True,Spread
27,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for 17 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,True,Spread
28,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for more than 18 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,True,Spread
29,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for more than 19 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,True,Spread
30,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for more than 180 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,True,Spread
31,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for more than 17 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,True,Spread
32,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for less than 18 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,True,Spread
33,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for less than 19 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,True,Spread
34,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for less than 180 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,True,Spread
35,My English class begins at 8 AM and ends at 2 AM.,My English class is scheduled for less than 17 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,True,Spread
36,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for 23 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,True,Spread
37,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for 24 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,True,Spread
38,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for 230 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,True,Spread
39,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for 22 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,True,Spread
40,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for more than 23 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,True,Spread
41,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for more than 24 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,True,Spread
42,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for more than 230 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,True,Spread
43,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for more than 22 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,True,Spread
44,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for less than 23 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,True,Spread
45,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for less than 24 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,True,Spread
46,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for less than 230 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,True,Spread
47,The coding competition started at 11 PM and ended at 10 PM.,The coding competition was held for less than 22 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,True,Spread
48,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for 12 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,True,Spread
49,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for 13 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,True,Spread
50,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for 120 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,True,Spread
51,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for 11 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,True,Spread
52,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for more than 12 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,True,Spread
53,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for more than 13 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,True,Spread
54,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for more than 120 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,True,Spread
55,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for more than 11 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,True,Spread
56,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for less than 12 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,True,Spread
57,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for less than 13 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,True,Spread
58,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for less than 120 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,True,Spread
59,The meeting began at 6 PM and lasted until 6 AM.,The meeting lasted for less than 11 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,True,Spread
0,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for 8 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,True,Near
1,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for 9 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,True,Near
2,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for 80 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,True,Near
3,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for 7 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,True,Near
4,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for more than 8 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,True,Near
5,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for more than 9 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,True,Near
6,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for more than 80 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,True,Near
7,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for more than 7 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,True,Near
8,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for less than 8 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,True,Near
9,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for less than 9 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,True,Near
10,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for less than 80 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,True,Near
11,Michael visited my house from 6 PM to 2 AM.,Michael visited my house for less than 7 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,True,Near
12,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for 17 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,True,Near
13,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for 18 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,True,Near
14,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for 170 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,True,Near
15,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for 16 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,True,Near
16,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for more than 17 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,True,Near
17,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for more than 18 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,True,Near
18,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for more than 170 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,True,Near
19,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for more than 16 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,True,Near
20,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for less than 17 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,True,Near
21,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for less than 18 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,True,Near
22,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for less than 170 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,True,Near
23,The football game will be telecasted from 10 PM to 3 PM.,The football game will be telecasted for less than 16 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,True,Near
24,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for 16 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,True,Near
25,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for 17 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,True,Near
26,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for 160 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,True,Near
27,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for 15 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,True,Near
28,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for more than 16 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,True,Near
29,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for more than 17 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,True,Near
30,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for more than 160 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,True,Near
31,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for more than 15 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,True,Near
32,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for less than 16 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,True,Near
33,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for less than 17 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,True,Near
34,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for less than 160 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,True,Near
35,My English class is scheduled from 5 PM to 9 AM.,My English class is scheduled for less than 15 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,True,Near
36,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for 5 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,True,Near
37,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for 6 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,True,Near
38,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for 50 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,True,Near
39,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for 4 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,True,Near
40,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for more than 5 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,True,Near
41,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for more than 6 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,True,Near
42,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for more than 50 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,True,Near
43,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for more than 4 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,True,Near
44,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for less than 5 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,True,Near
45,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for less than 6 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,True,Near
46,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for less than 50 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,True,Near
47,The coding competition was held from 9 PM to 2 AM.,The coding competition was held for less than 4 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,True,Near
48,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for 22 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,True,Near
49,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for 23 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,True,Near
50,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for 220 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,True,Near
51,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for 21 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,True,Near
52,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for more than 22 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,True,Near
53,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for more than 23 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,True,Near
54,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for more than 220 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,True,Near
55,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for more than 21 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,True,Near
56,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for less than 22 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,True,Near
57,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for less than 23 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,True,Near
58,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for less than 220 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,True,Near
59,The meeting lasted from 2 PM to 12 PM.,The meeting lasted for less than 21 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,True,Near
0,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for 14 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,False,Spread
1,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for 15 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,False,Spread
2,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for 140 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,False,Spread
3,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for 13 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,False,Spread
4,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for more than 14 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,False,Spread
5,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for more than 15 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,False,Spread
6,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for more than 140 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,False,Spread
7,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for more than 13 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,False,Spread
8,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for less than 14 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,False,Spread
9,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for less than 15 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,False,Spread
10,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for less than 140 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,False,Spread
11,Michael reached my house at 3 AM and left at 5 PM.,Michael visited my house for less than 13 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,False,Spread
12,The football game will begin at 10 PM and end at 11 PM.,The football game will be telecasted for 1 hour.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,False,Spread
13,The football game will begin at 10 PM and end at 11 PM.,The football game will be telecasted for 2 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,False,Spread
14,The football game will begin at 10 PM and end at 11 PM.,The football game will be telecasted for 10 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,False,Spread
15,The football game will begin at 10 PM and end at 11 PM.,The football game will be telecasted for more than 1 hour.,Contradiction,SINGLE_day_time_12,MORE_GOLD,False,Spread
16,The football game will begin at 10 PM and end at 11 PM.,The football game will be telecasted for more than 2 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,False,Spread
17,The football game will begin at 10 PM and end at 11 PM.,The football game will be telecasted for more than 10 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,False,Spread
18,The football game will begin at 10 PM and end at 11 PM.,The football game will be telecasted for less than 1 hour.,Contradiction,SINGLE_day_time_12,LESS_GOLD,False,Spread
19,The football game will begin at 10 PM and end at 11 PM.,The football game will be telecasted for less than 2 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,False,Spread
20,The football game will begin at 10 PM and end at 11 PM.,The football game will be telecasted for less than 10 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,False,Spread
21,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for 9 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,False,Spread
22,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for 10 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,False,Spread
23,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for 90 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,False,Spread
24,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for 8 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,False,Spread
25,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for more than 9 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,False,Spread
26,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for more than 10 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,False,Spread
27,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for more than 90 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,False,Spread
28,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for more than 8 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,False,Spread
29,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for less than 9 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,False,Spread
30,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for less than 10 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,False,Spread
31,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for less than 90 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,False,Spread
32,My English class begins at 1 AM and ends at 10 AM.,My English class is scheduled for less than 8 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,False,Spread
33,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for 5 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,False,Spread
34,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for 6 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,False,Spread
35,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for 50 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,False,Spread
36,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for 4 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,False,Spread
37,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for more than 5 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,False,Spread
38,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for more than 6 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,False,Spread
39,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for more than 50 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,False,Spread
40,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for more than 4 hours.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,False,Spread
41,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for less than 5 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,False,Spread
42,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for less than 6 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,False,Spread
43,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for less than 50 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,False,Spread
44,The coding competition started at 3 AM and ended at 8 AM.,The coding competition was held for less than 4 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,False,Spread
45,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for 2 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,False,Spread
46,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for 3 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,False,Spread
47,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for 20 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,False,Spread
48,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for 1 hour.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,False,Spread
49,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for more than 2 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,False,Spread
50,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for more than 3 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,False,Spread
51,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for more than 20 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,False,Spread
52,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for more than 1 hour.,Entailment,SINGLE_day_time_12,MORE_GOLD-1,False,Spread
53,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for less than 2 hours.,Contradiction,SINGLE_day_time_12,LESS_GOLD,False,Spread
54,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for less than 3 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD+1,False,Spread
55,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for less than 20 hours.,Entailment,SINGLE_day_time_12,LESS_GOLD*10,False,Spread
56,The meeting began at 6 PM and lasted until 8 PM.,The meeting lasted for less than 1 hour.,Contradiction,SINGLE_day_time_12,LESS_GOLD-1,False,Spread
0,Michael visited my house from 12 AM to 1 PM.,Michael visited my house for 13 hours.,Entailment,SINGLE_day_time_12,EQUAL_GOLD,False,Near
1,Michael visited my house from 12 AM to 1 PM.,Michael visited my house for 14 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD+1,False,Near
2,Michael visited my house from 12 AM to 1 PM.,Michael visited my house for 130 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD*10,False,Near
3,Michael visited my house from 12 AM to 1 PM.,Michael visited my house for 12 hours.,Contradiction,SINGLE_day_time_12,EQUAL_GOLD-1,False,Near
4,Michael visited my house from 12 AM to 1 PM.,Michael visited my house for more than 13 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD,False,Near
5,Michael visited my house from 12 AM to 1 PM.,Michael visited my house for more than 14 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD+1,False,Near
6,Michael visited my house from 12 AM to 1 PM.,Michael visited my house for more than 130 hours.,Contradiction,SINGLE_day_time_12,MORE_GOLD*10,False,Near
